count,phase,cycle_id,heading_source_cycle_id,heading_yaw,heading_concentration,heading_fallback,acc_H_x,acc_H_y,acc_H_z,omega_H_x,omega_H_y,omega_H_z,alpha_H_x,alpha_H_y,alpha_H_z,quat_H_B_w,quat_H_B_x,quat_H_B_y,quat_H_B_z,left_foot_z,right_foot_z
16.132,0.1650000000000007,20,19,-0.022884709450234613,0.9999916241161723,0,0.0892104550586911,-0.8462354508988704,-0.014811138415002034,-0.27883409377816176,-0.09952617158380521,0.0389946207862962,1.3858558224245823,-0.24670364686141366,-8.981903406047158,0.9996975049403338,-0.022315647297306493,0.010193798575963926,0.0017311765843850265,0.033970380394896305,0.08261601778025589
16.134,0.16749999999999932,20,19,-0.022884709450234613,0.9999916241161723,0,0.09821608697156922,-0.866947321710546,-0.02256294390494773,-0.27637425259743675,-0.10100980995215712,0.024495471169498077,1.22992059036253,-0.741819184175961,-7.249574808399063,0.9996922817243438,-0.02259235022970346,0.010092719820086271,0.0017505937584050535,0.033983172013723084,0.08285089901995138
16.136,0.16999999999999793,20,19,-0.022884709450234613,0.9999916241161723,0,0.10677010694990066,-0.8859441522038565,-0.03651171569739908,-0.2741337872557204,-0.10331216370584476,0.013142311248188565,1.1202326708581585,-1.1511768768438209,-5.676579960654755,0.9996870656360465,-0.022866701471074603,0.00998959350687137,0.0017586316815267106,0.03399517857124831,0.08306242116504384
16.138,0.17250000000000099,20,19,-0.022884709450234613,0.9999916241161723,0,0.1149203821240345,-0.9028394848737813,-0.056180745404816435,-0.2720458854859435,-0.10629147541051223,0.004521337275218373,1.0439508848884624,-1.489655852333738,-4.310486986485096,0.9996818565434928,-0.023138883183946222,0.009883683783189448,0.0017580038763073092,0.03400645490913147,0.08324979780233303
16.14,0.1749999999999996,20,19,-0.022884709450234613,0.9999916241161723,0,0.15160306692737954,-1.024599312484409,0.20376755573821193,-0.2700594346452697,-0.10982950558005622,-0.0017824921250452854,0.9932254203368633,-1.7690150847719899,-3.1519147001318286,0.9996766542959192,-0.02340902155113009,0.00977438096752789,0.001751011832518484,0.03401704871291587,0.08341264352564048
16.142,0.17749999999999821,20,19,-0.022884709450234613,0.9999916241161723,0,0.16529432705603261,-1.2200245675474088,0.2051476357415627,-0.2671453988949251,-0.11290852382308635,0.0003178227251190731,1.4570178751723208,-1.5395091215150631,1.0501574250821792,0.9996714619040868,-0.023676275886886228,0.009661958148106088,0.0017460754331221795,0.034027159806533834,0.08355129702853263
16.144000000000002,0.18000000000000127,20,19,-0.022884709450234613,0.9999916241161723,0,0.19818673453019972,-1.2863845810948458,0.1891547227711019,-0.26331623172502583,-0.11562185372107835,0.011065359968953144,1.9145835849496384,-1.3566649489960052,5.373768621917035,0.999666284046623,-0.023939811732518756,0.009546567806014393,0.001751855517221878,0.03403671186730946,0.08366665921563596
16.146,0.18249999999999988,20,19,-0.022884709450234613,0.9999916241161723,0,0.2118081972871208,-1.3254829114390438,0.15843175219269057,-0.25946677709637966,-0.11830802934150388,0.023820524249348288,1.9247273143230945,-1.3430878102127555,6.377582140197572,0.9996611192363927,-0.024199625602051415,0.009428183161513332,0.0017703587310045218,0.03404566950960809,0.08375962257316323
16.148,0.1849999999999985,20,19,-0.022884709450234613,0.9999916241161723,0,0.21540076679918682,-1.3469146836662225,0.11665753640080112,-0.2556057877029465,-0.12109731701094821,0.03707048822783596,1.9304946967165781,-1.394643834722171,6.624981989243834,0.9996559690537768,-0.024455708703486453,0.009306684080645543,0.0018020761326155285,0.03405403117582419,0.08383108177163785
16.15,0.1874999999999971,20,19,-0.022884709450234613,0.9999916241161723,0,0.21533488427285125,-1.3499591144740914,0.0674629636424342,-0.2517528785264437,-0.12405401164973276,0.05008852226011119,1.926454588251407,-1.4783473193922703,6.5090170161376175,0.9996508358259838,-0.024708065451606146,0.009181904644824814,0.0018467704634231902,0.03406181809313687,0.08388195339810142
16.152,0.19000000000000017,20,19,-0.022884709450234613,0.9999916241161723,0,0.20554549357369065,-1.348181734121765,-0.028162826441805677,-0.24794636518081625,-0.1271948277855512,0.06260843645343983,1.903256672813726,-1.570408067909217,6.259957096664319,0.9996457209462501,-0.024956736324640672,0.009053669301437662,0.0019039375132841483,0.0340690630690449,0.08391321770440105
16.154,0.19249999999999878,20,19,-0.022884709450234613,0.9999916241161723,0,0.20441454629000835,-1.3544412726961477,-0.08364776313637101,-0.24451370686586046,-0.13046845719198655,0.07462167226388353,1.7163291574778918,-1.636814703217684,6.006617905221847,0.9996406165347216,-0.025202089183253798,0.00892185509116044,0.001973062749515644,0.0340758435978728,0.08392588704820965
16.156,0.1949999999999974,20,19,-0.022884709450234613,0.9999916241161723,0,0.20517477047145752,-1.3605476228050224,-0.1301416206930135,-0.24118021753386665,-0.1339037633366205,0.08615578067764566,1.6667446659969074,-1.7176530723169694,5.767054206881069,0.9996355210932011,-0.025444217716912076,0.008786309250840773,0.002053660937774511,0.034082189540231005,0.08392103766411398
16.158,0.19750000000000045,20,19,-0.022884709450234613,0.9999916241161723,0,0.2009207952783759,-1.3694867227068592,-0.1886101536942757,-0.23788181240102724,-0.137505988259382,0.09720081962362481,1.6492025664197014,-1.801112461380753,5.522519472989575,0.9996304343333876,-0.025683151635786192,0.00864687420364655,0.0021452372835038106,0.03408812239176971,0.08389978383618119
16.16,0.19999999999999907,20,19,-0.022884709450234613,0.9999916241161723,0,0.2514643592029383,-1.6082248487275264,-0.002478489514011528,-0.2345016805544763,-0.1411830075809723,0.10774535118220228,1.6900659232754796,-1.8385096607951517,5.272265779288736,0.9996253578487315,-0.025918803714692133,0.008503484729520965,0.0022472888665127306,0.03409366425703343,0.08386399143637943
16.162,0.20249999999999768,20,19,-0.022884709450234613,0.9999916241161723,0,0.230453647017896,-1.2904870031582156,-0.08887499026037382,-0.22294188074064558,-0.13100297975813124,0.10916049253565126,5.779899906915344,5.090013911420524,0.7075706767244866,0.9996204090166525,-0.026142877089736973,0.008370191270348815,0.0023511173830758126,0.034098491247713365,0.083832641211401
16.164,0.20500000000000074,20,19,-0.022884709450234613,0.9999916241161723,0,0.24391903242825466,-1.0828149917143808,-0.1377847227768374,-0.21392680273115827,-0.12326302604390312,0.09834284721792558,4.507539004743655,3.869976857114073,-5.40882265886284,0.9996155819996129,-0.026357824099304452,0.008244888801875003,0.0024444101477116027,0.034102818947597244,0.0838025549076216
16.166,0.20749999999999935,20,19,-0.022884709450234613,0.9999916241161723,0,0.26001705650992907,-1.0123315407552094,-0.1763134451935695,-0.206081442014923,-0.11734447701817668,0.08023589688461051,3.922680358117632,2.959274512863215,-9.053475166657533,0.9996108906498623,-0.026564762185738354,0.008125958018623551,0.0025198235025444262,0.034106778466964874,0.08377132685324493
16.168,0.20999999999999797,20,19,-0.022884709450234613,0.9999916241161723,0,0.2746991189828725,-1.0028273436150608,-0.20801460271958483,-0.1991962333251376,-0.11273232257360417,0.0616160717697166,3.4426043448926995,2.3060772222862465,-9.309912557446957,0.9996063322280665,-0.026764653504207994,0.008012114620362911,0.00257680260441505,0.03411046184232504,0.08373704746726139
16.17,0.21250000000000102,20,19,-0.022884709450234613,0.9999916241161723,0,0.2868948149999038,-1.0130010301566226,-0.23833203335000874,-0.19293797398558246,-0.10913528808900184,0.04521474613425045,3.1291296697775755,1.798517242301173,-8.200662817733074,0.9996019010596451,-0.02695814764595723,0.007902290422298813,0.002617533098912125,0.034113932783806616,0.08369823762277204
16.172,0.21499999999999964,20,19,-0.022884709450234613,0.9999916241161723,0,0.29656494460592386,-1.0279899853119332,-0.2692281054145891,-0.18714368375417265,-0.10640298847608824,0.03173301120079181,2.897145115704909,1.3661498064567998,-6.740867466729319,0.9995975905102663,-0.02714573566451972,0.007795546858279877,0.0026449065167675886,0.03411723746752839,0.08365376432863471
16.174,0.21749999999999825,20,19,-0.022884709450234613,0.9999916241161723,0,0.3040172840479412,-1.0428322123792029,-0.3013141860145776,-0.181720644730867,-0.10444277277914912,0.021142752522272063,2.711519511652827,0.9801078484695557,-5.295129339259875,0.9995933940192459,-0.0273278147354951,0.007691037169014647,0.0026617892726604727,0.03412041016759086,0.0836027864548553
16.176000000000002,0.2200000000000013,20,19,-0.022884709450234613,0.9999916241161723,0,0.30964672326413156,-1.0561856143387642,-0.33467293156584965,-0.17660756748120393,-0.10318746128458695,0.013177996627677914,2.5565386248315303,0.6276557472810899,-3.9823779472970746,0.9995893055896251,-0.02750471789665465,0.007587987687020274,0.002670783993155825,0.03412347662115184,0.08354471350156925
16.178,0.22249999999999992,20,19,-0.022884709450234613,0.9999916241161723,0,0.3147412970082283,-1.0644465633117033,-0.376232884285459,-0.17175914021662217,-0.10258263922102877,0.007517336682896271,2.424213632290877,0.3024110317790906,-2.8303299723908215,0.9995853199791622,-0.027676729748174384,0.0074856868645999395,0.0026741736607047363,0.03412645628342168,0.08347917094092312
16.18,0.22499999999999853,20,19,-0.022884709450234613,0.9999916241161723,0,0.35400388190455295,-1.1920745027486046,0.06260862641578413,-0.16715664502764624,-0.10260516629986571,0.0038390923486143285,2.301247594487971,-0.011263539418473141,-1.8391221671409712,0.9995814324566298,-0.027844113218597574,0.007383454289604027,0.002673920300855421,0.034129199293600414,0.08340596429323299
16.182,0.22749999999999715,20,19,-0.022884709450234613,0.9999916241161723,0,0.3633304801249545,-1.2372558765200128,0.0034276555277248377,-0.15839209293454515,-0.10140833509119963,0.0050126027558956504,4.382276046550543,0.5984156043330415,0.5867552036406609,0.9995777399908065,-0.028002742317133133,0.0072823653631547474,0.002674937814152165,0.03413149945883903,0.08332413076855208
16.184,0.2300000000000002,20,19,-0.022884709450234613,0.9999916241161723,0,0.3543282755985886,-1.262526372154113,-0.050079880933115106,-0.1498376318416254,-0.10048224254865915,0.008461234608267629,4.277230546459864,0.46304627127024395,1.724315926185989,0.999574237056899,-0.028152843571595896,0.007182084734526994,0.0026794905892012382,0.0341334524617833,0.08323478366986717
16.186,0.23249999999999882,20,19,-0.022884709450234613,0.9999916241161723,0,0.3414764598766783,-1.2748013180618676,-0.10837148368634253,-0.14185001369817318,-0.0999754420139424,0.01327780284361546,3.9938090717261074,0.2534002673583653,2.408284117673916,0.9995709109733778,-0.028294993832827655,0.007082154936041071,0.0026889293991837235,0.03413515471289148,0.08313836711981826
16.188,0.23499999999999743,20,19,-0.022884709450234613,0.9999916241161723,0,0.3317465391990783,-1.2841264304477233,-0.16610052012715038,-0.13418330033560882,-0.09994499757982578,0.018283024574815426,3.8333566812821847,0.015222217058321011,2.502610865599983,0.9995677588185409,-0.028429515932231354,0.006982094269150537,0.0027034263361800687,0.034136694248358704,0.08303529040179819
