count,phase,cycle_id,heading_source_cycle_id,heading_yaw,heading_concentration,heading_fallback,linear_velocity_H_x,linear_velocity_H_y,linear_velocity_H_z,acc_H_x,acc_H_y,acc_H_z,omega_H_x,omega_H_y,omega_H_z,alpha_H_x,alpha_H_y,alpha_H_z,quat_H_B_w,quat_H_B_x,quat_H_B_y,quat_H_B_z,left_foot_z,right_foot_z
0.068,0.085,0,0,-0.017324021552622283,0.9999624572119901,1,0.03164551494279198,0.03587218540095061,-0.10920324788853814,2.725234668604067,2.9993741071029536,1.0301410647586273,-0.05430618821693162,-0.11165946385063265,0.045359254468707755,15.323564668697292,2.6753315970464957,-63.17955188703486,0.9999197353491364,0.0020556608398365965,0.0085587204708362,0.009112926079297022,0.037520489424896365,0.03439738623343511
0.07,0.08750000000000001,0,0,-0.017324021552622283,0.9999624572119901,1,0.037089360927856266,0.041651028264314265,-0.10681479779415667,2.721950822690833,2.8894670074961617,1.194253441711135,-0.02554682661653859,-0.10734449599073272,-0.06900989578429345,14.379680800196509,2.157483929949964,-57.184575126500604,0.9999203804529468,0.0019999102801203086,0.008447679749678305,0.009158046765145263,0.03769665184849372,0.03440311300005353
0.07200000000000001,0.09000000000000001,0,0,-0.017324021552622283,0.9999624572119901,1,0.04252765342366958,0.047098994950339715,-0.10429440679980559,2.719176373902212,2.7240131358632222,1.2602268824315548,0.0025874532343606277,-0.10376013315421727,-0.17040509213475763,14.067139925449608,1.7921814182577205,-50.69759817523209,0.9999219618804405,0.0019739226003022883,0.008340449791445543,0.009089041534474391,0.037861021971061594,0.034408169316893285
0.074,0.09249999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,0.047946686001062444,0.05225910063327594,-0.10152998474717516,2.70954799467127,2.580069185624347,1.3822435447121642,0.02960064123449499,-0.10044998063414082,-0.2598299822654434,13.506594000067182,1.6550762600382292,-44.712445065342884,0.9999243511882877,0.0019769463014739047,0.008236335930623957,0.008918876299236598,0.0380136317796603,0.03441053838911386
0.076,0.09499999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,0.05333799906317488,0.05718198482133117,-0.09853127056572732,2.6956895276869917,2.4614486538666274,1.4993899864010931,0.055228794821015545,-0.0971442022269903,-0.33891257035440353,12.814076793260275,1.652889203575264,-39.54129404448006,0.9999273983478892,0.0020077487141986435,0.008135102584033443,0.008659508315712161,0.03815483339010502,0.034409447032019244
0.078,0.09749999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,0.0586960601368496,0.06190856540529987,-0.09531298198024861,2.679064518029301,2.3632908074556047,1.6091770277457265,0.07979555775577801,-0.09363404474340391,-0.40924394215083587,12.283381467381238,1.7550787417931932,-35.16568589821617,0.9999309491480943,0.002064851168540127,0.008036783197509273,0.008321264403872888,0.03828513887864469,0.03440451994481923
0.08,0.09999999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,0.06401690988417874,0.06645912225171363,-0.09189436248276817,2.6604595371482627,2.2752750165471465,1.7093418886992513,0.10327671735123033,-0.08976550046394323,-0.4721114022403193,11.740579797726152,1.934272139730338,-31.433730044741704,0.9999348513519845,0.002147115152915123,0.007941614032676583,0.007912882835040262,0.03840530003074158,0.034395547370641974
0.082,0.1025,0,0,-0.017324021552622283,0.9999624572119901,1,0.06610496453352223,0.07719871397832329,-0.0890917722774782,1.0440178023043591,5.37002044887045,1.4012668409728821,0.020413241272396188,-0.07946757338245793,-0.46794021502484656,-41.43173803941706,5.148963540742654,2.085593607736358,0.9999389578331416,0.0022533907980959575,0.007849983223992031,0.0074418143530184215,0.03851616935947104,0.03438251429717985
0.084,0.105,0,0,-0.017324021552622283,0.9999624572119901,1,0.06891402884243521,0.08324886075240934,-0.08482947382115781,1.404525124972886,3.025050647799083,2.1311147018778023,-0.058479390658975804,-0.07390792027066616,-0.34843902833771834,-39.446315965686,2.7798265558958795,59.75059334356411,0.9999429050759484,0.002276896605910627,0.007769317285038509,0.0069742411087641,0.03868771276182697,0.03436009917752472
0.08600000000000001,0.1075,0,0,-0.017324021552622283,0.9999624572119901,1,0.07217264314482091,0.08781247898007404,-0.08081725879921116,1.6293104359426593,2.2817368374141966,2.00609047236871,-0.1280157580837892,-0.07330711417755441,-0.20674441304103428,-34.768183712406696,0.30040304655587735,70.84730764834202,0.9999459774822216,0.0022206376714075356,0.00769500932051001,0.006625535224742111,0.038903283353547355,0.034347394553157995
0.088,0.10999999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,0.0757264728544224,0.09193782902750962,-0.07866357206329895,1.776929311733715,2.0626161493602426,1.0768516651551163,-0.18421219660181187,-0.07775991303039408,-0.07516034127082893,-28.098219259011344,-2.226399426419837,65.79203588510266,0.9999481637357216,0.002093764578207397,0.007622042728417235,0.00641797912867007,0.03914745770179021,0.03434401054549929
0.09,0.11249999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,0.0794389892998058,0.09611037807046717,-0.07641531792398637,1.8562785292710076,2.086217572343827,1.1241404274241553,-0.23653110052248935,-0.08390513217832989,0.04259567053195401,-26.159451960338735,-3.072609573967901,58.87800590139147,0.9999496022411702,0.0019096700508564911,0.007545229640532307,0.00634158085134902,0.03940689504700519,0.034339073354858834
0.092,0.11499999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,0.08314698312939837,0.1004718723773364,-0.07412636437757332,1.8540185051996732,2.1806949067340873,1.144494326310447,-0.28631090845428064,-0.0914430616347103,0.14409018817429892,-24.889903965895655,-3.768964728190211,50.74725882117245,0.9999503852334477,0.0016723341815124192,0.007462803421948857,0.00638254925170573,0.0396719857598395,0.03433512909895526
0.094,0.1175,0,0,-0.017324021552622283,0.9999624572119901,1,0.0868664445674545,0.10509183139188952,-0.0718319794179613,1.8597545415550982,2.309932901769519,1.1472132719776198,-0.33392659171286077,-0.09989811840283312,0.22869529985787468,-23.807841629290024,-4.227528384061408,42.30255584178788,0.9999505721316464,0.0013844173233289862,0.007373306907302255,0.00652464769307065,0.03993476531734501,0.034334099743984964
0.096,0.12,0,0,-0.017324021552622283,0.9999624572119901,1,0.09059446546295905,0.10990921137499354,-0.06957712009304998,1.864037201640479,2.4086445885079506,1.1274527561497791,-0.37949448795615226,-0.10881204113760315,0.2988762330299393,-22.78394812164578,-4.456961367385011,35.09046658603232,0.9999501929502962,0.0010482098517579144,0.007275766760933765,0.006751006799922689,0.04018868933296085,0.03433737561542492
0.098,0.1225,0,0,-0.017324021552622283,0.9999624572119901,1,0.09429278163141142,0.1148380029078167,-0.06743915018794656,1.8491878101225083,2.4643466265854377,1.0690090339173004,-0.42291784533130267,-0.11764240183083256,0.3573321472899056,-21.71167868757521,-4.415180346614713,29.227957129983135,0.9999492432100062,0.0006658673950159504,0.007169680417949993,0.007047219810154647,0.040428390082350864,0.034346017837863604
