count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_ref,H_R_W_00,H_R_W_01,H_R_W_02,H_R_W_10,H_R_W_11,H_R_W_12,H_R_W_20,H_R_W_21,H_R_W_22,H_R_IMU_00,H_R_IMU_01,H_R_IMU_02,H_R_IMU_10,H_R_IMU_11,H_R_IMU_12,H_R_IMU_20,H_R_IMU_21,H_R_IMU_22,lin_acc_H_x,lin_acc_H_y,lin_acc_H_z,ang_vel_H_x,ang_vel_H_y,ang_vel_H_z
0.04,0.049999999999999996,0.9999522245236413,0.002145909375309574,0.00932462723419299,-0.0019987671496793646,-0.003958022954998917,-0.003958022954998917,-0.01236230288870115,0.9999235877068036,-0.012361988009792782,0.0,0.012361988009792782,0.9999235877068036,0.0,0.0,0.0,1.0,0.999790634507088,-0.008324720962569119,0.0186918745129957,0.008402718201799553,0.9999562988588364,-0.004098133643310615,-0.018656941837701117,0.004254338189736467,0.9998168927997926,2.0363635942205316,2.941557114376458,2.6800144130866563,0.38408518726717367,0.03280510789846399,-0.32437928850326647
0.042,0.0525,0.9999506073880302,0.002456421801932157,0.009355672132363602,-0.0022847702714104256,-0.0045241602465320154,-0.0045241602465320154,-0.012391780488517497,0.999923222870637,-0.012391463351783018,0.0,0.012391463351783018,0.999923222870637,0.0,0.0,0.0,1.0,0.9997937905092623,-0.007776260992691187,0.018759163736562137,0.007866160168349984,0.9999579062778988,-0.004723261217286478,-0.018721644781574686,0.00486984982257234,0.9998128747817654,2.2885649897791858,1.2743202992651275,1.810518187037589,0.3074790026946758,0.03494685658766767,-0.28882094563326505
0.044,0.05499999999999999,0.9999493392835934,0.0026992162972308805,0.009381203553352471,-0.002454815181873627,-0.004859613524553353,-0.004859613524553353,-0.012421278636060774,0.9999228569103857,-0.012420959229147769,0.0,0.012420959229147769,0.9999228569103857,0.0,0.0,0.0,1.0,0.9997951554076769,-0.00746098573464942,0.01881438054272512,0.007560260241333486,0.9999578434655167,-0.0052109266811541585,-0.018774708744010597,0.005352100864185015,0.9998094145025427,2.4112280410443057,1.1091380898195689,1.2617598993592587,0.24090816116843033,0.028494855578024704,-0.17224751049156933
0.046,0.057499999999999996,0.9999485971336712,0.002878494350014538,0.009395313735930713,-0.002499087930399863,-0.00494472465709126,-0.00494472465709126,-0.012450814617879098,0.9999224896090064,-0.012450492927047044,0.0,0.012450492927047044,0.9999224896090064,0.0,0.0,0.0,1.0,0.9997950226630523,-0.0073985150144268924,0.01884607741064176,0.007504692324576453,0.999956329506805,-0.005569440940669189,-0.018804048800724938,0.0057097333439889006,0.9998068847001608,2.4333193538080615,1.3347257256782796,0.973872216199684,0.17869798485936333,0.016097818044994574,-0.045915542023400174
0.048,0.06,0.9999484367455491,0.002996809498792225,0.009393197703926912,-0.0024312177723024913,-0.004806753604448945,-0.004806753604448945,-0.012480406630494774,0.999922120736053,-0.012480082640518564,0.0,0.012480082640518564,0.999922120736053,0.0,0.0,0.0,1.0,0.9997938272828195,-0.007561609919658049,0.018844760083232354,0.0076722215215374485,0.9999537227691608,-0.005804251633141533,-0.018799998513194516,0.005947636128689915,0.9998055739394458,2.4343565639485503,1.6337764114109863,0.8428171812092788,0.11896545621500104,-0.001071680914671901,0.06674884769549196
0.05,0.0625,0.9999488417014344,0.0030564345055408984,0.009371282165811446,-0.002269638438764889,-0.004482562724911657,-0.004482562724911657,-0.012510071142150121,0.9999217500805387,-0.012509744836428097,0.0,0.012509744836428097,0.9999217500805387,0.0,0.0,0.0,1.0,0.9997918859189777,-0.007913411813964835,0.01880326471750099,0.00802601018152543,0.9999502651640773,-0.005920334353530503,-0.0187554794963996,0.006070017442655755,0.9998056745573641,2.421195805028036,1.9401578987586414,0.7641059403658161,0.06137078423370405,-0.02175816948707129,0.16094622219636673
0.052000000000000005,0.065,0.999949760084094,0.003059171281675885,0.009326946416862675,-0.002031464833532946,-0.004006368771805499,-0.004006368771805499,-0.012539822460419205,0.9999213774566029,-0.012539493821118089,0.0,0.012539493821118089,0.9999213774566029,0.0,0.0,0.0,1.0,0.9997893831768977,-0.008419688530859473,0.018716253145375047,0.008531863497001534,0.9999460689142884,-0.005921703144327642,-0.018665384861475016,0.006080140451035694,0.9998072990832126,2.396419547366394,2.2348993849981973,0.989342518989826,0.0054464937494691605,-0.0450113416620513,0.23800204503190767
0.054,0.06749999999999999,0.9999511207558875,0.003005860549608161,0.009258744525556549,-0.0017310549420146751,-0.0034068710115876676,-0.0034068710115876676,-0.012569672500771158,0.999921002706729,-0.012569341508993016,0.0,0.012569341508993016,0.999921002706729,0.0,0.0,0.0,1.0,0.9997863896137811,-0.00905171527914969,0.01858067796249671,0.009161100600350934,0.9999411550463813,-0.005810394160401073,-0.018526990549764217,0.00597937245989754,0.9998104809043336,2.3750472286255495,2.389582481159814,0.9537977443813546,-0.0497534777490664,-0.06967245537141371,0.3006855966064583
0.056,0.06999999999999999,0.9999528409362878,0.00289913641936997,0.009165411551857289,-0.0013806312161312405,-0.0027084474055691175,-0.0027084474055691175,-0.012599630815359798,0.9999206257017271,-0.012599297451310915,0.0,0.012599297451310915,0.9999206257017271,0.0,0.0,0.0,1.0,0.9997829362716065,-0.009784985235804749,0.018393868653984017,0.009889358904899937,0.9999354629670826,-0.005592001542962605,-0.018337963915740725,0.005772691291027344,0.9998151804782139,2.3612865126774367,2.4857087630405346,0.921089629010746,-0.10241560095812759,-0.09554655039790562,0.3511164115340771
0.058,0.0725,0.9999548241714507,0.0027419686832502953,0.009047144324173523,-0.0009901533023220187,-0.0019309206514855621,-0.0019309206514855621,-0.012629705099385262,0.9999202463346817,-0.01262936934250886,0.0,0.01262936934250886,0.9999202463346817,0.0,0.0,0.0,1.0,0.9997789793993858,-0.010599485444645642,0.018156080508508494,0.010696827933113415,0.9999288855855181,-0.005272726417448402,-0.0180989011625585,0.005465773505428012,0.9998212615746352,2.3307676726571027,2.5556378761418017,0.9189961069272012,-0.15219751663220693,-0.12117444908374053,0.39155898896996527
0.06,0.075,0.9999569813081285,0.002537056312656173,0.008903732548858555,-0.0005678248859918211,-0.00109059556412917,-0.00109059556412917,-0.0126599013710806,0.9999198645189427,-0.012659563200178438,0.0,0.012659563200178438,0.9999198645189427,0.0,0.0,0.0,1.0,0.9997744837905108,-0.011478707228957174,0.017866752412497,0.011567212831559037,0.9999212955947512,-0.0048582098991031015,-0.01780958025128602,0.005063782821785877,0.9998285737839296,2.868632658900646,0.5783305926720947,0.8478496527999777,-0.19934702349038635,-0.1469719110559985,0.423771152137718
0.062,0.0775,0.9999586815988988,0.002379514012960093,0.008771833855620057,-0.00016714922873694118,-0.0002925842754744417,-0.0002925842754744417,-0.012690225836768172,0.9999194801647031,-0.01268988522997502,0.0,0.01268988522997502,0.9999194801647031,0.0,0.0,0.0,1.0,0.9997692588337022,-0.012313741048350028,0.017601161112387173,0.012395415986272003,0.9999128728075695,-0.004538772547806013,-0.017543738302804892,0.004755898979964204,0.9998347856877431,2.7721180899834614,2.4204010860642446,0.8953319060222338,-0.15236515608703727,-0.13476020161482263,0.4017278502696018
