bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
43,0.435,79,0.32685810854932396,-1.1284628097559297,-1.505680659315531,0.02644999429014547,0.074484962690107,0.2720879052013426,0.4014606202768795,0.16025968259200787,-0.13755149515615908,0.00831079809976005,0.0009668432383035686,0.003024375055173075,3.220020727114109,0.2167227021068266,0.781316441241589,0.034877700218106766,2.904400919006427e-05,0.0657980158153449,0.0006638002392971169
44,0.445,82,0.23832869664464315,-1.1840908248621205,-1.7526887229726775,0.078944542406576,0.18310152671638483,0.7577937920296699,0.43217747302459547,0.1689192880504373,-0.13375717640555015,0.01013595646641711,0.0050588595658584345,0.0006057998445532861,3.7256562136505496,-0.020098875155994192,1.1023368371361266,0.03497103684751013,3.20750067783061e-05,0.06354874315404431,0.0007050388168123837
45,0.455,78,0.010893932895184404,-1.3680402924412225,-1.1453683243076507,0.02929172371528276,0.22210294817269965,0.45404531718587043,0.4610711196952883,0.15993810058951197,-0.11991410576198105,0.01104818652053828,0.007824795096979241,0.011034310589045427,5.129878781582695,-1.5437707696276062,3.01140649550774,0.03512519282553759,7.369107275594523e-05,0.061031722842656254,0.000862598090547926
46,0.465,81,-0.028843877016580415,-1.7812282688274532,-2.192854342730029,0.006466948099106368,0.061884105839966876,0.19104946800817707,0.5142555335299186,0.1442189557363956,-0.08557467247742631,0.0206542789789263,0.002215213808186174,0.008505967598280498,7.459597431350388,-1.6105717241541653,3.289211898975382,0.03543826178614283,0.00011984799319525108,0.0579711073075705,0.0009915897872826622
47,0.475,79,-0.2556663646736309,-1.709124211366997,-1.4091398892786924,0.16279643465932742,0.26878353940799715,0.8391887305296196,0.5804246785968945,0.13416895300304532,-0.06728671537837494,0.015809019034046787,0.010325204997079717,0.00854187634140613,8.186067019440538,-3.3658209330092848,4.335223226793087,0.03587895802594606,0.00016718703948761298,0.054720964854030774,0.0010400888686307942
48,0.485,82,-0.35176520971298525,-2.173697674932702,-2.29212188080632,0.025516564449127734,0.07152024422928463,0.371348403043813,0.6452326058409672,0.09036582080824704,-0.016211100848736924,0.029080608543565367,0.013134507786346701,0.015569397483124537,11.104344557986979,-4.96258286226538,4.245472824972436,0.03660011675815164,0.0002787265962265764,0.0508272323669362,0.0013061484091089867
49,0.495,79,-0.4488868486370515,-2.125289648162566,-2.9880025746213628,0.2724664948052995,0.1764112680958179,0.0936049165974681,0.7580941915246862,0.05476762720679923,0.0006408498211840388,0.037889423944788544,0.009108738489082615,0.004405772393487634,12.245071809720836,-5.362917658537949,4.03118426609584,0.037594991059437366,0.00033584575681442513,0.046565660987293755,0.0012680844602464985
50,0.505,80,-0.9776951976266558,-2.28752756362472,-3.513642824701061,0.13472832039271102,0.4495304484377683,0.6812152420927327,0.8411537547965006,0.004559138271639854,0.04828784740879652,0.02245097806112411,0.021351710446023613,0.04042648990940994,9.367153671274414,-6.349248471497108,8.971156375738667,0.038855986744348855,0.00046680906251600837,0.042175424932601686,0.0014498001802592862
51,0.515,79,-0.9774663689050961,-0.5975557700140388,-0.600037475208637,0.1366622848347782,0.38738794431457446,0.7728818734516737,0.9079686502650768,-0.04682034833715452,0.1441793518330027,0.012930379720799884,0.011177803187534951,0.013603263635086042,4.4495405846111185,-5.107538483994243,6.9218966898711916,0.04052562050484716,0.0005738084234114121,0.03770002781699917,0.0012231698041297381
52,0.525,82,-1.2917773276452464,2.448744895428087,3.325025255854487,0.5546260105870725,2.3325956944447674,3.309899067268989,0.9123464041502785,-0.07716147747226804,0.1590381944467356,0.017351037598977544,0.012324009130491332,0.004018647908664513,-8.276855801469418,2.185086374242603,-5.314273973033284,0.04253275255506763,0.0006914069615665265,0.03421788032077412,0.000934955662147177
53,0.535,80,-1.1900549929614859,5.312245226723207,8.215367002378446,0.3203514277573907,0.1523072741972387,0.22633599110672656,0.7755389574415661,-0.01185896634927287,0.05915096826447015,0.057812759594654616,0.019292727846476367,0.05273594641659167,-21.092251962728646,5.824501233339143,-16.24095295926337,0.045007182419397745,0.0008394216901894139,0.03211639032947803,0.0004022477610127691
54,0.545,79,-0.6339138093003874,4.392110795570232,6.987470562704771,0.5241420702887213,0.5270764183991719,2.25060308113831,0.5748703727466201,0.016030542261158253,-0.10081705290147837,0.0608827604340689,0.002158319076920477,0.041438403960395095,-21.30340160710869,5.16156206548127,-11.12435861281878,0.04786471782052813,0.0009288559033138941,0.03145813294635946,0.00012472474037257168
55,0.555,80,-1.058298393221021,2.0009725748178004,2.285052810473275,0.2780494977477614,0.44245671845760765,0.1149279066748072,0.43468453172782706,0.07072602669842745,-0.11883876954063033,0.024136330191558683,0.023529628216590357,0.04231604462326297,-12.611468586322449,5.128688034453033,6.982812382402651,0.05114400080234109,0.0011199299055071712,0.03148568315176638,9.457612544646348e-05
56,0.565,81,-0.566245749548085,1.6773149640726697,2.539035432458386,0.07018125791576249,0.028468141143464253,0.03688346766766985,0.3730868753654609,0.09808955081240678,0.010907945216964041,0.01576737224969393,0.0032684263265384886,0.027983499683167146,-6.698332987351057,0.5143600089232209,11.09250170737185,0.05482669973828164,0.0011276754048047924,0.03180519272521855,0.0001241110051463458
57,0.575,80,-0.6158313653223308,1.5246233228442478,1.1003105354884881,0.10195321497834015,0.0975238983231563,0.9834164491502315,0.32751120393021016,0.07895578684119899,0.05864125777731925,0.011908125622702985,0.0052959957570169695,0.006076196221391763,-4.7487529498549605,-2.1566616994842724,0.3744933986018654,0.05826148668052382,0.001007981026604926,0.03220946375152397,0.00012461967293837518
58,0.585,77,-0.5482318131018609,1.5191699725605912,0.9437799751880835,0.046611640144549535,0.024460677380436203,0.10219311373800119,0.29710682816778156,0.06358296362065842,0.016899839594593888,0.006918953924608094,0.007363375849413499,0.020724941002824085,-3.0550456563202055,-2.841977371635286,-7.104105367320991,0.06142392353469022,0.0009335190660275163,0.03259688716669668,0.0001109421200480055
59,0.595,80,-0.5067087163427095,1.4764327725469333,0.9352138165484754,0.19517120715423883,0.05436020669247175,0.3240979980464058,0.27863047342908687,0.033484148895034406,-0.0550244280998166,0.004760615443074871,0.010706769180786748,0.02221704639550198,-3.8035618855068836,-3.0387045945148974,-5.628915455492158,0.06423843262197948,0.0008100648409212347,0.03293447358956728,9.761115861450079e-05
60,0.605,81,-0.6596460177929154,1.061949162159956,0.2277784756568363,0.13746383109776386,0.19664404179384432,0.049505592720105164,0.23624983799967142,0.014963690108420058,-0.07316280769328064,0.018102302487281764,0.0047164085490905795,0.017422956245760624,-5.4569253918109775,-2.8547198637508098,2.2220929161099123,0.06675301688592382,0.0007702217740051177,0.03321864378090581,7.841240005491001e-05
61,0.615,80,-0.4544175365476776,0.9283232410262567,0.3084497624374113,0.025868825197140462,0.00914807639303523,0.011928517188718327,0.19131966716011123,-0.01219136892497855,-0.019470941442058,0.01062807464840129,0.011568332800942625,0.01136614765332903,-4.472846661305559,-4.021311059060158,4.399928683203862,0.06913230053534522,0.0006772352553405585,0.0334441541748812,6.064021121474722e-05
62,0.625,80,-0.30026326109025814,0.947656151685486,0.2033945233236336,0.08563967641177365,0.02973994679733458,0.04336681055545044,0.16468429141878246,-0.049377286836542474,-0.0027639487620188443,0.005202465555941268,0.008648251811461161,0.0033621214039029103,-2.051761855378814,-3.469657482305805,-0.45640984194444933,0.07110846712258756,0.0005391357266744782,0.033619151737492296,4.7244354781850705e-05
