qa,qalpha,samples,acceptable,right_acc_rms,right_acc_rms_std,right_alpha_rms,right_alpha_rms_std,right_tilt_rms,right_tilt_rms_std,right_tilt_std,right_tilt_std_std,left_acc_rms,left_acc_rms_std,left_alpha_rms,left_alpha_rms_std,left_tilt_rms,left_tilt_rms_std,walk_distance_xy,walk_distance_xy_std,qp_success,qp_success_std,fallback_fraction,fallback_fraction_std,q_safety_violation_fraction,q_safety_violation_fraction_std,recovery_active_fraction,recovery_active_fraction_std,ddq_saturation_any_fraction,ddq_saturation_any_fraction_std,tau_saturation_any_fraction,tau_saturation_any_fraction_std,arm_interval_mean_ms,arm_interval_mean_ms_std,arm_interval_p99_ms,arm_interval_p99_ms_std,arm_interval_max_ms,arm_interval_max_ms_std,arm_interval_overrun_fraction,arm_interval_overrun_fraction_std,acc_improvement_pct,alpha_improvement_pct,tilt_change_pct
0.015,0.001,1,True,2.5554615971115897,0.0,5.963352279358487,0.0,0.018895317704735404,0.0,0.011099133919721544,0.0,2.0700829666885983,0.0,9.779497207953078,0.0,0.7317005838687911,0.0,4.774747054361548,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.004690431519699813,0.0,0.04557692307692308,0.0,0.0,0.0,3.2531089211813997,0.0,4.036572500535839,0.0,5.361969999285066,0.0,0.0,0.0,12.737121666748486,8.530138327560014,25.053399286588633
0.015,0.0015,1,True,2.5646648775690997,0.0,5.689506087015801,0.0,0.018963040827646136,0.0,0.010532658357521096,0.0,2.066808182998419,0.0,9.761142793114098,0.0,0.7331990497606552,0.0,4.775613741228897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008442776735459663,0.0,0.05423076923076923,0.0,0.0,0.0,3.2419035835006227,0.0,4.012930499993671,0.0,4.8472700036654714,0.0,0.0,0.0,12.422851734561588,12.730573277514788,25.501605919714898
0.02,0.005,1,True,2.5866961972988265,0.0,5.435645391713452,0.0,0.02509829224068567,0.0,0.013506267140171816,0.0,2.0898057233151683,0.0,9.794012563385127,0.0,0.7296967692194541,0.0,4.769628433321983,0.0,0.99906191369606,0.0,0.0009380863039399625,0.0,0.0,0.0,0.001876172607879925,0.0,0.09634615384615385,0.0,0.0,0.0,3.273174600370139,0.0,4.206741701818827,0.0,5.963981995591894,0.0,0.0,0.0,11.670535059065813,16.624457387590088,66.10605918520096
0.01,0.0005,1,True,2.601397069865984,0.0,5.942628396732008,0.0,0.01633799860899384,0.0,0.00978161859814997,0.0,2.052269929925401,0.0,9.739403053640713,0.0,0.731509004795607,0.0,4.775942396335772,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.021346153846153845,0.0,0.0,0.0,3.290122704542258,0.0,4.178445098386869,0.0,5.361411002013483,0.0,0.0,0.0,11.168535555073857,8.848015016435392,8.128494874801941
0.01,0.0,1,True,2.6066998844118574,0.0,6.453519517202792,0.0,0.016252590722141955,0.0,0.010180182223524216,0.0,2.051016963232989,0.0,9.727763121819159,0.0,0.7325989151577468,0.0,4.780435632970649,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0225140712945591,0.0,0.017884615384615384,0.0,0.0,0.0,3.173166550641497,0.0,4.0155295496333565,0.0,5.2426220008783275,0.0,0.0,0.0,10.987457169445458,1.0116273723756322,7.563246555424064
0.01,0.0015,1,True,2.6280895249249254,0.0,5.616968341587842,0.0,0.017876512872500288,0.0,0.009988544663358762,0.0,2.0649452655677,0.0,9.718018185403608,0.0,0.7269413632431005,0.0,4.768493752806154,0.0,0.99906191369606,0.0,0.0009380863039399625,0.0,0.0,0.0,0.001876172607879925,0.0,0.04961538461538462,0.0,0.0,0.0,3.238323701751016,0.0,4.290308099189132,0.0,5.431221004982945,0.0,0.0,0.0,10.25705229864108,13.843205439678423,18.310723165896864
0.015,0.005,1,True,2.631247973291847,0.0,5.393817708352465,0.0,0.022932072200795874,0.0,0.011996815967393956,0.0,2.0860088546482976,0.0,9.78607301013703,0.0,0.7330120381862284,0.0,4.773778249322632,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09403846153846154,0.0,0.0,0.0,3.260014725952889,0.0,3.9006371440336802,0.0,4.261088000930613,0.0,0.0,0.0,10.149198869782653,17.266038201849764,51.769534982537806
0.01,0.0003,1,True,2.640126425323005,0.0,6.3284315463745715,0.0,0.017137744696976952,0.0,0.010562759612454571,0.0,2.050735701775604,0.0,9.709250434899555,0.0,0.7295426834409823,0.0,4.771309505381568,0.0,0.9934333958724203,0.0,0.006566604127579738,0.0,0.0,0.0,0.008442776735459663,0.0,0.017884615384615384,0.0,0.0,0.0,3.269225126659637,0.0,4.147537200151418,0.0,5.090320999443065,0.0,0.0,0.0,9.84602104850048,2.9303098268984042,13.421391688247695
0.01,0.002,1,True,2.6487116023502173,0.0,5.557357433082337,0.0,0.018539919001763897,0.0,0.00997047226232684,0.0,2.0683476914789414,0.0,9.706469308272341,0.0,0.727735075677577,0.0,4.766005551472466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0075046904315197,0.0,0.05423076923076923,0.0,0.0,0.0,3.235812577835665,0.0,3.854274999503103,0.0,4.26756600063527,0.0,0.0,0.0,9.552857864502002,14.75755718341838,22.701291923107075
0.01,0.003,1,True,2.664587988440181,0.0,5.485200286204703,0.0,0.019744259230873983,0.0,0.010854386953825464,0.0,2.0702400760276363,0.0,9.743351892440964,0.0,0.7336730333576058,0.0,4.7761714998392355,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.005628517823639775,0.0,0.06461538461538462,0.0,0.0,0.0,3.275770244814052,0.0,4.057622200252805,0.0,5.316762999427738,0.0,0.0,0.0,9.010717395904805,15.864351471996796,30.67188241019168
