run_dir,run_name,qa,qalpha,right_acc_rms,right_alpha_rms,right_tilt_rms,right_tilt_std,right_acc_xyz_rms,right_alpha_xyz_rms,left_acc_rms,left_alpha_rms,left_tilt_rms,walk_distance_xy,qp_success,fallback_fraction,q_safety_violation_fraction,recovery_active_fraction,ddq_saturation_any_fraction,tau_saturation_any_fraction,arm_interval_mean_ms,arm_interval_p99_ms,arm_interval_max_ms,arm_interval_overrun_fraction
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_193948_grid_r01_qa0p015_qalpha0p002,20260805_193948_grid_r01_qa0p015_qalpha0p002,0.015,0.002,2.579440706191119,5.676774195913815,0.019758359475840714,0.01101953642386054,"[0.8197964279101282, 1.423484330717737, 1.9887535125657516]","[2.6894115230683124, 3.270775894395264, 3.780853869117821]",2.072761840866827,9.763012704093999,0.7346837805514401,4.775872009506083,0.99906191369606,0.0009380863039399625,0.0,0.00375234521575985,0.05653846153846154,0.0,3.330856504693636,4.8616432994094625,6.207135998920421,0.0009380863039399625
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194014_grid_r01_qa0p01_qalpha0p002,20260805_194014_grid_r01_qa0p01_qalpha0p002,0.01,0.002,2.6487116023502173,5.557357433082337,0.018539919001763897,0.00997047226232684,"[0.8210741951782484, 1.4615928556936018, 2.050672241637479]","[2.5783399189383167, 3.1245711209902938, 3.8043974833497813]",2.0683476914789414,9.706469308272341,0.727735075677577,4.766005551472466,1.0,0.0,0.0,0.0075046904315197,0.05423076923076923,0.0,3.235812577835665,3.854274999503103,4.26756600063527,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194040_grid_r01_qa0p01_qalpha0p003,20260805_194040_grid_r01_qa0p01_qalpha0p003,0.01,0.003,2.664587988440181,5.485200286204703,0.019744259230873983,0.010854386953825464,"[0.8137120107822867, 1.4690233851134995, 2.0687852004589558]","[2.5774298257003845, 3.0790541525202406, 3.7368038748666073]",2.0702400760276363,9.743351892440964,0.7336730333576058,4.7761714998392355,0.99812382739212,0.001876172607879925,0.0,0.005628517823639775,0.06461538461538462,0.0,3.275770244814052,4.057622200252805,5.316762999427738,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194106_grid_r01_qa0p015_qalpha0p003,20260805_194106_grid_r01_qa0p015_qalpha0p003,0.015,0.003,2.6158162672012493,5.559393979856174,0.02098884190981856,0.011259776380057299,"[0.8136942940822258, 1.4276234487649258, 2.035261071231215]","[2.5697414294711223, 3.169610864731432, 3.7758253899110845]",2.07862897088666,9.751978873723264,0.731340728106134,4.772017144472351,0.99906191369606,0.0009380863039399625,0.0,0.008442776735459663,0.07038461538461538,0.0,3.2477216961334983,4.152709699883417,6.061489999410696,0.0009380863039399625
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194131_grid_r01_qa0p02_qalpha0p003,20260805_194131_grid_r01_qa0p02_qalpha0p003,0.02,0.003,2.5464838002218873,5.64638408466366,0.022734536104312683,0.012730834107311803,"[0.8106130665850393, 1.3688551282343617, 1.988396801189488]","[2.7255974830957848, 3.2805828766941563, 3.7000739966690017]",2.0831390247959027,9.803148894137598,0.7316435618925126,4.773455832251155,0.99812382739212,0.001876172607879925,0.0,0.014071294559099437,0.075,0.0,3.244493804917712,3.95183504988381,5.757211001764517,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194157_grid_r01_qa0p03_qalpha0p003,20260805_194157_grid_r01_qa0p03_qalpha0p003,0.03,0.003,2.440283993408457,5.662808367451936,0.024355493201985014,0.013692778009236245,"[0.7985435341737415, 1.2737188519325404, 1.9222264379480594]","[2.7902855661677917, 3.4506497200791597, 3.517772246043937]",2.0837509674802956,9.852818531655108,0.7346481792630561,4.777099747073231,0.9971857410881801,0.0028142589118198874,0.0,0.00375234521575985,0.08826923076923077,0.0,3.301628481213294,4.0055373501672875,5.593112999122241,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194223_grid_r01_qa0p04_qalpha0p003,20260805_194223_grid_r01_qa0p04_qalpha0p003,0.04,0.003,2.3771805675330726,5.829134591456091,0.026376136287178543,0.014333362340926123,"[0.7910038864117015, 1.2446122724793194, 1.8644679116392189]","[2.783915310423119, 3.584755396920666, 3.657615941286055]",2.088682876477074,9.836904783115765,0.725907587338338,4.766108319122133,0.9971857410881801,0.0028142589118198874,0.0,0.0150093808630394,0.09538461538461539,0.0,3.3843852870546645,4.183644900786021,5.604156000117655,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194249_grid_r01_qa0p05_qalpha0p003,20260805_194249_grid_r01_qa0p05_qalpha0p003,0.05,0.003,2.3290645315603777,5.9067967275650615,0.029629715002636395,0.0165454693985946,"[0.7969545826334388, 1.1851904225187735, 1.839763204263501]","[2.9014639428652393, 3.6976384741923516, 3.577600352638442]",2.0916385781265703,9.857250874118243,0.7221762662698245,4.762891801613486,0.9953095684803002,0.004690431519699813,0.0,0.020637898686679174,0.1026923076923077,0.0,3.257903225127846,4.215172799831634,6.046629001502879,0.0009380863039399625
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194315_grid_r01_qa0p075_qalpha0p003,20260805_194315_grid_r01_qa0p075_qalpha0p003,0.075,0.003,2.2344239376078754,6.170928284110688,0.035252053637271324,0.018602913979468536,"[0.809520547575635, 1.1046094241478592, 1.7655494431172574]","[2.990094637734114, 3.988296659272828, 3.6377437653941747]",2.097777805410821,9.86593475516162,0.7220009709034819,4.762239657417576,0.9906191369606003,0.009380863039399626,0.0,0.0150093808630394,0.12057692307692308,0.0,3.2409002860509735,4.013953399953605,5.415325998910703,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194341_grid_r01_qa0p1_qalpha0p003,20260805_194341_grid_r01_qa0p1_qalpha0p003,0.1,0.003,2.203148376086412,6.648633982173677,0.04043695023423202,0.02092126451730825,"[0.7822824995468315, 1.0815504162979026, 1.7527537063035368]","[3.588252574798867, 4.142355497089876, 3.7642619760177767]",2.102443249499339,9.888017242952738,0.7163842117221112,4.7580317511817505,0.9671669793621013,0.03283302063789869,0.11538461538461539,0.5347091932457786,0.13326923076923078,0.0,3.404460629397663,4.443801149409406,6.414843001039117,0.001876172607879925
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194407_grid_r01_qa0p0003_qalpha0,20260805_194407_grid_r01_qa0p0003_qalpha0,0.0003,0.0,2.9189008949659114,6.4823251141810925,0.014675878535118836,0.009241463621327885,"[0.8274549397036013, 1.730619977727834, 2.2000580106174956]","[3.317349366331191, 3.224003803882294, 4.541093650234204]",2.0258092274807686,9.645240733232237,0.7387972496420252,4.786604074543464,1.0,0.0,0.0,0.0075046904315197,0.012115384615384615,0.0,3.1674622683536864,3.9355603999865707,4.508972000621725,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_194432_grid_r01_qa0p001_qalpha0,20260805_194432_grid_r01_qa0p001_qalpha0,0.001,0.0,2.8893775794793015,6.536513547870129,0.014998145184370126,0.009290783247815957,"[0.8299680193926466, 1.736956106632229, 2.154678483490315]","[3.2912516539724925, 3.261562427288043, 4.610410225198618]",2.0313774665325894,9.674358394664873,0.7466443706077267,4.792020116174831,1.0,0.0,0.0,0.0075046904315197,0.012115384615384615,0.0,3.1879067852524092,4.188827250618486,6.040491000021575,0.0009380863039399625
