bin_id,phase_center,bin_count,acc_W_x,acc_W_y,acc_W_z,acc_W_std_x,acc_W_std_y,acc_W_std_z,omega_W_x,omega_W_y,omega_W_z,omega_W_std_x,omega_W_std_y,omega_W_std_z,alpha_W_x,alpha_W_y,alpha_W_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std,omega_W_raw_x,omega_W_raw_y,omega_W_raw_z
13,0.135,80,0.06971171114205679,-1.271946759884909,0.4428302878619716,0.0035682880590258916,0.02065477372934023,0.02387241544996813,-0.2949808540079751,-0.06238870936023032,0.03840090441509766,0.0029662681212323126,0.009053561918392771,0.026750684489341803,0.037380489134517664,-2.63146687066612,1.0764792772602108,0.03371542085486448,3.8648603199112905e-05,0.07816009897230643,0.0006686067387769108,-0.2980481673972188,-0.07008194853496548,0.025793936462776675
14,0.145,80,0.01644472150150925,-1.323419833886204,0.3559974903824285,0.1011215352103561,0.09162782738574854,0.14662585435468045,-0.29416773255959094,-0.08129427161609101,0.04862134515505526,0.0028578340701304445,0.009267648824222971,0.021611354355076655,0.26516503137848785,-1.9959913089816657,1.2236020415087923,0.03382513893255317,2.8902364186162237e-05,0.08000609057505485,0.00047928754059506546,-0.3080707323390861,-0.10041629399846932,0.10604083581679488
15,0.155,81,-0.010725163303286463,-0.9639995342947305,-0.004124299168664475,0.06991096814944943,0.1922182625206792,0.01738227111582946,-0.2907382135059193,-0.09432457030393697,0.057978537079238335,0.00722177403142472,0.0057170998438203875,0.023432609499325952,0.7269629668582717,-1.3889351295346704,0.7630988720940162,0.03390672631769051,2.1629620263340038e-05,0.08136677548102972,0.0004072187881555115,-0.29582138692333815,-0.10023998615618562,0.11338449597891256
16,0.165,79,0.0768330669967174,-0.8685394120828873,-0.0055951302736475545,0.012578372743370703,0.02848808487581011,0.01614868972768022,-0.2825363250898586,-0.10351723368864574,0.060830927108559515,0.003061757125607055,0.0022550996606066657,0.017581006065968737,1.3311434295019964,-0.9275720154525843,-0.07922077794993632,0.03396708248514223,1.6338908329951814e-05,0.08247983844381887,0.00032548756587028906,-0.28060747568149286,-0.0954409050904915,0.038150091922621476
17,0.175,80,0.1299347419912656,-1.086742522881881,0.12332390909054709,0.026467217030111595,0.14591540872402156,0.11200609718323987,-0.26943991863388733,-0.10916572255117832,0.056711004632039354,0.00344311166507556,0.003971338330592699,0.005592577024722304,1.8298364531963116,-0.5718789562552907,-0.5881157896654461,0.03401328247899512,1.3181602967311405e-05,0.08325035974448831,0.0002382747636749357,-0.2711433051884603,-0.10544371773957292,0.006523325215086019
18,0.185,80,0.18922857686649755,-1.3301342435051047,0.10656144287470351,0.010662182030580322,0.021190094017922816,0.057474000711334614,-0.2532589418387176,-0.11266729698873039,0.05142107447391238,0.0046512958671901345,0.003339369191148591,0.014702827406878729,2.1652698923286335,-0.31299815918492313,-0.41296685944227196,0.034049914061187445,1.0699922226340008e-05,0.08366021902205391,0.00017709600786764516,-0.2570387253169156,-0.11604526545850931,0.0400558866093826
19,0.195,82,0.1928924948521768,-1.3976142830779545,-0.07933556090604786,0.01916092344071928,0.09860309736057778,0.07222828351257446,-0.2347956003566292,-0.11417369309813709,0.050103534880963,0.004189777305654002,0.004246395984222316,0.012886541478312684,2.472678797918973,-0.017643461705057345,-0.05080828549304962,0.03407833618628752,8.7256326610932e-06,0.08375018570919215,0.00015685677735092035,-0.24258870005922964,-0.12865873831113228,0.08544122343419408
20,0.205,78,0.2302941762235748,-1.1475286617736753,-0.12407162174810928,0.019076640469011127,0.15285761169906087,0.05379322732848244,-0.21369608107201404,-0.1129495923760113,0.050608141906023585,0.00993463822497303,0.007262699947161759,0.01689641735511639,2.8536760131048844,0.30554985190818246,-0.21719246494777097,0.034098941084614476,6.4658088761183614e-06,0.08364943847546716,0.00015083435342529483,-0.21491650294748985,-0.1177478583439459,0.08693484518827772
21,0.215,81,0.2782115310114004,-1.0528389466382293,-0.2620566363469649,0.011269503905745607,0.022943520384321077,0.040327642474801,-0.18913678414695104,-0.10928489546760617,0.046628455441798666,0.006831395061573704,0.002462349261088504,0.013219189346343122,3.2289074220827834,0.5589105547791654,-0.8223397097883913,0.034113263218621515,5.6816898410464e-06,0.08349891888334454,0.00015413646756318568,-0.18829076827105046,-0.10297288563752503,0.031562393957874545
22,0.225,79,0.3229922204574162,-1.1912259207457279,-0.09342986928449522,0.021581604181006388,0.07715557473074616,0.18182885797253617,-0.1620335623186895,-0.10400702349954466,0.037450706549409324,0.008581454650779932,0.0013870835160299394,0.00328164305291192,3.4944755756255526,0.6863241751574253,-1.2134200499169003,0.034124854124750706,5.237455776046146e-06,0.08325204007466072,0.0001685638872577634,-0.1656457087653846,-0.09932321412894397,0.009046360340388988
