bin_id,phase_center,bin_count,acc_W_x,acc_W_y,acc_W_z,acc_W_std_x,acc_W_std_y,acc_W_std_z,omega_W_x,omega_W_y,omega_W_z,omega_W_std_x,omega_W_std_y,omega_W_std_z,alpha_W_x,alpha_W_y,alpha_W_z,orientation_quat_w,orientation_quat_x,orientation_quat_y,orientation_quat_z,orientation_R_00,orientation_R_01,orientation_R_02,orientation_R_10,orientation_R_11,orientation_R_12,orientation_R_20,orientation_R_21,orientation_R_22,orientation_dispersion_rad,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
15,0.155,81,-0.010725163303286463,-0.9639995342947305,-0.004124299168664475,0.06991096814944943,0.1922182625206792,0.01738227111582946,-0.29582138692333815,-0.10023998615618562,0.11338449597891256,0.00722177403142472,0.0057170998438203875,0.023432609499325952,1.716453541099578,0.3109618067486143,-4.243171493385837,0.9996703119285437,-0.021097761311291898,0.010699477696569277,-0.009983641287652084,0.9995716961673202,0.019509229547224276,0.021813165374612694,-0.020412169653615114,0.9989104227485824,0.041967971767530705,-0.020970635450994927,-0.04239525075668183,0.9988808112893447,0.0008352723192893244,0.03390672631769051,2.1629620263340038e-05,0.08136677548102972,0.0004072187881555115
16,0.165,79,0.0768330669967174,-0.8685394120828873,-0.0055951302736475545,0.012578372743370703,0.02848808487581011,0.01614868972768022,-0.28060747568149286,-0.0954409050904915,0.038150091922621476,0.003061757125607055,0.0022550996606066657,0.017581006065968737,1.5423801084298652,-0.32523322396170623,-6.678823172739159,0.9996521774225477,-0.022238849376804582,0.010297177526705519,-0.009742991724238141,0.9995980844944898,0.0190212110234438,0.021020537722624966,-0.019937200543534282,0.9988210153813144,0.04426157777493814,-0.020153846020885824,-0.04466287903664094,0.9987988034267586,0.0007553144516883263,0.03396708248514223,1.6338908329951814e-05,0.08247983844381887,0.00032548756587028906
17,0.175,80,0.1299347419912656,-1.086742522881881,0.12332390909054709,0.026467217030111595,0.14591540872402156,0.11200609718323987,-0.2711433051884603,-0.10544371773957292,0.006523325215086019,0.00344311166507556,0.003971338330592699,0.005592577024722304,1.4730468977860802,-1.2877725230011132,0.11911216792257015,0.9996318827096132,-0.023326662252236445,0.009884899192799406,-0.009708484256173234,0.9996160682027917,0.018948657380774503,0.02021545384743543,-0.01987098420024585,0.9987232243232355,0.046444215832694466,-0.019309587714535795,-0.04682808538544307,0.9987163111922366,0.0007562125937768845,0.03401328247899512,1.3181602967311405e-05,0.08325035974448831,0.0002382747636749357
18,0.185,80,0.18922857686649755,-1.3301342435051047,0.10656144287470351,0.010662182030580322,0.021190094017922816,0.057474000711334614,-0.2570387253169156,-0.11604526545850931,0.0400558866093826,0.0046512958671901345,0.003339369191148591,0.014702827406878729,1.7846628205769166,-1.4509387857224598,4.932368638694254,0.9996120819108812,-0.024373389309122223,0.00942403128800356,-0.009633858295748622,0.9996367528172403,0.01880085112880767,0.019310370629171437,-0.019719633462583108,0.9986262533358468,0.04854628929702551,-0.01837113151400665,-0.04890944842503882,0.9986342510557374,0.0007459428193561117,0.034049914061187445,1.0699922226340008e-05,0.08366021902205391,0.00017709600786764516
19,0.195,82,0.1928924948521768,-1.3976142830779545,-0.07933556090604786,0.01916092344071928,0.09860309736057778,0.07222828351257446,-0.24258870005922964,-0.12865873831113228,0.08544122343419408,0.004189777305654002,0.004246395984222316,0.012886541478312684,2.632638898089108,-0.10641205533978675,2.929934911180945,0.9995943835151564,-0.025373133521724777,0.008907536686467005,-0.009377010740235487,0.9996654549195135,0.018294390304810604,0.018283695576588536,-0.01919843877559216,0.9985365515297324,0.050558631386636375,-0.017331998994401965,-0.05089273565534854,0.998553719770936,0.0007635196741225981,0.03407833618628752,8.7256326610932e-06,0.08375018570919215,0.00015685677735092035
20,0.205,78,0.2302941762235748,-1.1475286617736753,-0.12407162174810928,0.019076640469011127,0.15285761169906087,0.05379322732848244,-0.21491650294748985,-0.1177478583439459,0.08693484518827772,0.00993463822497303,0.007262699947161759,0.01689641735511639,3.393620736761199,1.605365792100453,-3.3674268422699707,0.9995786565729303,-0.0262821784280295,0.00838844291444037,-0.009021665389725592,0.999696487158134,0.017594795233803494,0.017244035037291536,-0.01847666144744614,0.9984557133013461,0.05239085375956977,-0.01629559895932855,-0.05269356466002935,0.9984777622450968,0.0006584029992885765,0.034098941084614476,6.4658088761183614e-06,0.08364943847546716,0.00015083435342529483
21,0.215,81,0.2782115310114004,-1.0528389466382293,-0.2620566363469649,0.011269503905745607,0.022943520384321077,0.040327642474801,-0.18829076827105046,-0.10297288563752503,0.031562393957874545,0.006831395061573704,0.002462349261088504,0.013219189346343122,3.0794246363815785,1.1515402634376202,-4.868030302993046,0.9995630831175524,-0.02706190742183243,0.007949611971583826,-0.008837403732232156,0.9997174079295496,0.017236821716260092,0.016370591307111115,-0.01809734836911806,0.9983791069239314,0.053959659374202246,-0.015413963300507021,-0.054240675096232135,0.9984089136723868,0.0005963015944861996,0.034113263218621515,5.6816898410464e-06,0.08349891888334454,0.00015413646756318568
22,0.225,79,0.3229922204574162,-1.1912259207457279,-0.09342986928449522,0.021581604181006388,0.07715557473074616,0.18182885797253617,-0.1656457087653846,-0.09932321412894397,0.009046360340388988,0.008581454650779932,0.0013870835160299394,0.00328164305291192,3.3780329737156127,0.3281940450650901,-0.7128087293510337,0.9995474920126161,-0.027758731082873637,0.007543563111880595,-0.008795380351930062,0.9997314718800839,0.017164001264478708,0.015568596374559901,-0.018001600223796224,0.9983041882662672,0.055359643057122425,-0.014592001982716634,-0.055625037084233546,0.9983450950084916,0.0005449218958705038,0.034124854124750706,5.237455776046146e-06,0.08325204007466072,0.0001685638872577634
23,0.235,82,0.3121314736255012,-1.2859961583995374,-0.16811950672889336,0.013420772954683826,0.01371219784422524,0.0668138814123383,-0.13424224069160065,-0.09772178091648359,0.020157454288258006,0.009187120640647485,0.0006996114058331289,0.005567129265632037,3.6608198654664164,-0.18413527136754668,1.9066324144911484,0.9995344591650335,-0.028341625345702833,0.007141576976652207,-0.008753004782036144,0.9997447655711444,0.01709305200366335,0.014772653326250265,-0.017902667599862445,0.998240274360099,0.05653184180869434,-0.01378035579752381,-0.05678188283840601,0.9982915003021008,0.0005052362035485237,0.034132617416555565,4.664895665638816e-06,0.08288256436224405,0.00018317974255477863
24,0.245,79,0.32847162719088113,-1.3477215519139996,-0.268224852763634,0.06987235995347713,0.07606642052425792,0.19659887567625486,-0.10707259091792193,-0.10226937847082472,0.03955247897224736,0.007216645724786016,0.0022720731639619034,0.006268030548111503,3.9604796658029606,0.5306560465515109,0.974533210538398,0.9995248752884776,-0.028810955022681214,0.00673215935036398,-0.008638899276864332,0.999760094899531,0.01688166956417736,0.013955711347211854,-0.0176575093251728,0.9981905965799305,0.05747821555888756,-0.012960131593167007,-0.057710849345061946,0.9982492138023247,0.00047159347859361143,0.0341396987474066,4.920857226249385e-06,0.08242232570413528,0.00018635986719817884
