count,phase,lin_acc_local_x,lin_acc_local_y,lin_acc_local_z,ang_vel_local_x,ang_vel_local_y,ang_vel_local_z,ang_acc_local_x,ang_acc_local_y,ang_acc_local_z,quat_w,quat_x,quat_y,quat_z,R00,R01,R02,R10,R11,R12,R20,R21,R22,lin_acc_world_x,lin_acc_world_y,lin_acc_world_z,ang_vel_world_x,ang_vel_world_y,ang_vel_world_z,left_foot_z,right_foot_z
7.1240000000000006,0.9050000000000002,0.1653820573701438,1.3833233971929815,9.5096344434608,-0.2166715766091519,0.027091512598984666,0.06230706443604332,-2.1489205992901717,-0.756773720124301,-0.06541846513329411,0.9984305435476118,0.021549357786865175,0.006602412791731141,-0.05126873350807077,0.994655850219612,0.10266109443793273,0.010974484621457939,-0.10209198341591036,0.9938142842869042,-0.04370806870034261,-0.015393717748037382,0.04235407933262445,0.9989840666486025,0.4108750617574469,0.9422346140904209,-0.25398316713426894,-0.2120486189967474,0.04632104175680302,0.06672658177945681,0.07033748954512144,0.03445079489410474
7.126,0.9075,0.13867308271967618,1.408360241421849,9.279073686472335,-0.22130261360352418,0.026916157495880902,0.06274663027773994,-2.315518497186142,-0.08767755155188184,0.21978292084830903,0.9984383249327912,0.021330196092852846,0.006639279905669735,-0.05120404283234625,0.9946681319199149,0.1025313917952359,0.011073438466832095,-0.10196492322602282,0.9938463374645274,-0.043273686460203624,-0.015442207564275223,0.04191385456954023,0.9990018853939492,0.385086083334765,0.9840141521852048,-0.4832995046912121,-0.2166680852227981,0.04660035054662792,0.06722956275421467,0.06998248855624926,0.03446039367324372
7.128,0.9099999999999997,0.11708401413817371,1.431952071433613,9.080068464883,-0.22606748466112056,0.02786453561078374,0.06326124984542399,-2.382435528798188,0.4741890574514185,0.25730978384202324,0.9984461733316351,0.021106327794011715,0.006677326648484158,-0.05113878367047373,0.9946804762270679,0.10240051341929883,0.011175198618256579,-0.10183677803917644,0.9938786954635125,-0.042830005163976115,-0.015492606342800867,0.04146412371208043,0.9990198724717624,0.36456537881060147,1.022363818722793,-0.6812704588780996,-0.2213046135175824,0.0480064729022927,0.0678569988514869,0.0696106036439347,0.03447024907399099
7.13,0.9124999999999994,0.10103261645920536,1.4525053523677558,8.898109439234894,-0.2308672827191642,0.029886117750725957,0.06366815723237115,-2.3998990290218236,1.0107910699711091,0.20345369347358339,0.9984540733687127,0.020877772063583044,0.006717628407873313,-0.051073040595404955,0.9946928359858277,0.10226866907303028,0.011281904294147006,-0.10170767261420058,0.9939113263160024,-0.042377172536256336,-0.01554706949472696,0.041004813702735704,0.9990379842044697,0.3494298280932728,1.0563090100217916,-0.8624617323292672,-0.22586732064166037,0.05048704845608941,0.06842169183860146,0.06922761111557248,0.03448037779681159
7.132000000000001,0.9150000000000003,0.08605917509603746,1.469754545878111,8.741061325041434,-0.23561236373543037,0.03295274814286602,0.06383695913855124,-2.3725405081330835,1.533315196070032,0.08440095309004275,0.9984620011240779,0.020644635115586858,0.006761230557669513,-0.05100703004088918,0.9947051372955077,0.10213632884763522,0.011395620538296064,-0.10157799629645346,0.9939441638547042,-0.04191550796030738,-0.015607706632391803,0.04053602679963367,0.9990561696045807,0.33532865516470317,1.0857262090539792,-1.0189539310226916,-0.23027169413455567,0.054010464941558055,0.06878985001015292,0.06883834417317408,0.034490766356189445
7.134,0.9175,0.06971110654818866,1.4826765986628578,8.605953253741358,-0.24023589031014045,0.0368885425881596,0.0637021782374218,-2.311763287355037,1.9678972226467895,-0.06739045056471799,0.9984699290363833,0.020407080326952223,0.006809000705643299,-0.05094103838752883,0.9947172962347818,0.10200409361636385,0.011518049178119381,-0.1014482863189785,0.9939771233610593,-0.041445427224437295,-0.01567628062737001,0.040057996959129746,0.9990743771638397,0.31970571879713655,1.1099971388421068,-1.1537123693057172,-0.23447028809463272,0.058397722838861445,0.06888690040662317,0.06844681092361038,0.03450138350422162
7.136,0.9199999999999997,0.053423970282135406,1.4927813452199445,8.490763624794365,-0.24469247119165216,0.04152827267632538,0.06327886034854668,-2.228290440755856,2.3198650440828907,-0.2116589444375594,0.9984778304688539,0.02016530793972872,0.006861638741297469,-0.050875341096554595,0.9947292351641863,0.10187253452128037,0.01165055448824195,-0.10131906628852264,0.9940101200480103,-0.04096740226768305,-0.015754222167244987,0.03957104942190368,0.9990925565389597,0.3041379084792744,1.1305823684043343,-1.2687119918452812,-0.23843493051663414,0.06347916549041067,0.06871969524478795,0.06805629622957356,0.034512185215491084
7.138,0.9224999999999994,0.039922079146116854,1.502229909844112,8.393957325709236,-0.24894638963129576,0.0467223581724384,0.06254358600155673,-2.1269592198217975,2.5970427480565097,-0.3676371734949793,0.9984856779012579,0.01991954596713332,0.006919693745139425,-0.05081024063121782,0.9947408745709424,0.1017422694372447,0.01179419635225997,-0.10119092080670554,0.994043062270922,-0.0404819453255265,-0.015842664047678562,0.039075580108387034,0.9991106590538735,0.29155238504045183,1.1494377463429346,-1.3654397311452247,-0.24214585925531323,0.06910326436356784,0.06825764069603893,0.06766944724814704,0.034523119239806346
7.140000000000001,0.9250000000000003,0.1959969435650867,1.1727251336544977,9.826027968607264,-0.25296622997915835,0.05233751888508688,0.061400511917312446,-2.0099201739312984,2.807580356324238,-0.5715370421221395,0.9984934392922051,0.019670046250828487,0.006983581914065867,-0.05074613832168054,0.9947521180581728,0.10161410712571782,0.011949763672232149,-0.10106463760873331,0.9940758374518542,-0.039989603891636916,-0.015942479223585736,0.03857204463646903,0.9991286377282796,0.4315525041660882,0.7530303929718575,0.0495756675555068,-0.24558674121150914,0.07513802112561904,0.06739868380807254,0.06728834884171014,0.0345341289583459
7.142,0.9275,0.1378957566980946,1.28891597867172,9.454964351668293,-0.25348958105948577,0.04743875114830218,0.060131861790227795,-0.2616755401637083,-2.4493838683923506,-0.6343250635423258,0.9985011106312904,0.019419764507300787,0.00704262709751325,-0.05068339193587761,0.9947631903708791,0.10148837859656246,0.012095622885606061,-0.10094131395757669,0.9941081330567104,-0.03949520131635889,-0.016032661028909944,0.03806742439859291,0.9991465483000928,0.3823472988888259,0.8939767578458904,-0.3162501280804424,-0.24662029012020065,0.07037189973834818,0.06595052575095312,0.06685326528049536,0.034545520942555766
7.144,0.9299999999999997,0.07847473749057061,1.3777415203557568,9.134671272025567,-0.2557975724903396,0.04446933355913511,0.05821677931517251,-1.1539957154269032,-1.4847087945835322,-0.9575412375276426,0.9985086802931591,0.01916701272312547,0.0070988601499254135,-0.0506225956175454,0.9947739179950286,0.10136633017180564,0.012235979091217188,-0.10082207440055242,0.9941399568724281,-0.03899558261209077,-0.016117114828333702,0.037558131705230036,0.9991644636156867,0.3294928706105606,1.0055440815834222,-0.6324804670589259,-0.24924072095729852,0.06772858600453124,0.06396104101317077,0.06637753481913408,0.034557265270717126
7.146,0.9324999999999994,0.04148403396066587,1.4389732527890606,8.863506477281096,-0.2593972957061156,0.04327411963300658,0.05594407244573114,-1.7998616078880036,-0.5976069630642677,-1.1363534347206863,0.9985161409448291,0.018910588651253113,0.007154125286923012,-0.05056406234558882,0.9947841881809808,0.10124864224854324,0.012374626779560874,-0.10070748736670113,0.994171330471949,-0.03848853928016093,-0.016199411513775862,0.03704157273201642,0.9991824162564842,0.29664433373746935,1.0852647832020408,-0.9011103660600455,-0.2529705953509624,0.06699193334100882,0.0617033584700574,0.06587240754299051,0.03456933134131912
