bin_id,phase_center,bin_count,acc_H_raw_x,acc_H_raw_y,acc_H_raw_z,acc_H_smooth_x,acc_H_smooth_y,acc_H_smooth_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_raw_x,omega_H_raw_y,omega_H_raw_z,omega_H_smooth_x,omega_H_smooth_y,omega_H_smooth_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
32,0.325,82,0.6705032656423303,-1.0277925689794987,0.0653722916455194,0.6324211180249009,-1.047248512799071,-0.11094111294787742,0.06543793683984143,0.014971897301853889,0.42311655281933414,0.14034613993783987,0.024611794646510532,-0.07689416788818282,0.14265843496427957,0.023919858818424244,-0.06936665155887586,0.009377972190277896,0.005053930768025763,0.003068284889365758,3.626373819248358,2.129455046241975,-1.4200038138477917,0.03427637849180346,9.997903533955778e-06,0.07808667105096341,0.00019310947312474583
33,0.335,79,0.6604856202007782,-1.061340397602336,-0.10774602778334118,0.6607582513399038,-1.0329571346298432,-0.10537108849976626,0.015473024104059768,0.009102645945345196,0.14893829994740715,0.1739156998594498,0.04084087268173994,-0.08472668812461918,0.17116599762933765,0.040887906427215,-0.08083790649808285,0.009177179031604997,0.005236091953785107,0.001957549810609511,3.506478589775545,2.0855149704526323,-1.2998396776744838,0.03430493583226894,1.088913857627505e-05,0.07742326568566874,0.00021567261642076155
34,0.345,80,0.6528755510563113,-1.07416242488394,-0.3242847032413893,0.6810258154254487,-1.0359114007471177,-0.13759250612299306,0.06557882569234474,0.028219413789552027,0.39664291240980104,0.19866686463133476,0.05816643304007477,-0.08765099692921205,0.1987620924006883,0.05728809834566636,-0.0901640864016676,0.00597392007919987,0.005570015397461949,0.0006666990106027208,3.387470282665587,2.066858128096579,-1.1040758303876148,0.03433888401572947,1.3087707995063968e-05,0.07672858686544394,0.00021712852297051533
35,0.355,80,0.7425252861531432,-1.0038723180738074,0.13773458983023912,0.6921410570759563,-1.0199780448633486,-0.16366022642270142,0.030312508409616686,0.0048734248855326154,0.22027566391921277,0.22650129061994767,0.0730455973895598,-0.09326284718572926,0.22536552215198705,0.07395763647676026,-0.09850311978428469,0.010353274185120415,0.004239606806747993,0.0043891031984562776,3.226425493897048,2.0009285516658357,-1.0326796596113315,0.03437871415271483,1.4620354571238656e-05,0.07599236220035883,0.00025320561258819295
36,0.365,82,0.6787393540746804,-1.0123892941960062,-0.4590386810659932,0.6954292538353948,-1.0098150668882306,-0.22887189127156593,0.009610227663328216,0.005395207017759193,0.14665916101704038,0.2543804669548692,0.0897757939704467,-0.10828573188059469,0.25038490030304106,0.08930295517231973,-0.10668696095544891,0.006690173055856328,0.006031811348041489,0.004390399233188,3.07099416409661,1.924433785964989,-1.051142137541287,0.03442448054569383,1.711262034934637e-05,0.07513844805768569,0.00027402686673652274
37,0.375,78,0.7260794738948679,-0.9481257895606541,-0.0649663098530225,0.6956264560509401,-1.0009356764548933,-0.31466839934992985,0.04706074869693617,0.06510176830185897,0.48875966172777696,0.2733632886943337,0.10795948530198003,-0.11858933480126825,0.2745014287775328,0.10474857705220009,-0.11532139398494529,0.0067873262438551095,0.0038342986834061644,0.0020091444215178202,2.906556832616494,1.8452296315979304,-1.0401007307489114,0.03447647507799455,1.855831589458946e-05,0.07427897001047087,0.0002765764251224643
38,0.385,81,0.6769266039979709,-1.0105255077267454,-0.4338043520276637,0.671924499459174,-0.9828063359043658,-0.42134612444245845,0.014778273994551186,0.02755133308373161,0.21048381752446135,0.29901259061471996,0.11756746615953728,-0.12564589398044032,0.29688980962490497,0.11882662927788662,-0.1233285726474315,0.007562103031752557,0.004141626319710054,0.0022791589573743984,2.741864683452732,1.6450268112133577,-0.9168643244850221,0.034533042178399045,2.0392820424065965e-05,0.07326227485588153,0.0003499631841246079
39,0.395,79,0.6538615621340376,-1.029765472717253,-0.753267243633209,0.6464009505982264,-0.9929395149346882,-0.5715313607693004,0.026052794586979983,0.110281061890637,0.456080062086451,0.3192495070037934,0.13539454243947657,-0.13082316207669395,0.3183712637127765,0.1310690060316138,-0.12999122317670564,0.004774319457278671,0.006736976693690692,0.0007589286243054279,2.6837640391974213,1.4838015410422993,-0.7622769663814776,0.034594338613510196,2.1268465991613373e-05,0.07213517445284306,0.0003456533956833977
40,0.405,82,0.6240155031943129,-0.9132256153211705,-0.39565403563240364,0.5941101823695403,-0.9831517314101407,-0.7321570504756229,0.03793010099149196,0.06383951750836564,0.32820295717099407,0.3384431948568085,0.14343585851799248,-0.1332987404981603,0.3398300342520637,0.1425674539345634,-0.13552500410953514,0.007299885226623191,0.0011686790549828585,0.002069155202848055,2.621773529482441,1.252305699340232,-0.4946813229983263,0.03465917613778153,2.2570263362412972e-05,0.07088668432922514,0.0004462559453971606
41,0.415,78,0.5511216097699426,-1.063055189347618,-1.2099648627002035,0.524096483279811,-1.0067391918159776,-0.9465323119331963,0.01708523308456426,0.03207300373556277,0.17930076301964462,0.3617877373942269,0.15098767773908262,-0.1415989845269654,0.3603196401844956,0.15110589722105752,-0.13790612434467886,0.0065433537684824895,0.004743046999993745,0.0025688267106382112,2.692199946037022,0.9527120255428904,-0.18549519380718638,0.034726455248566435,2.2690325734411464e-05,0.06936741747437847,0.00047518707676609827
