count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_fit_line,lin_acc_local_x,lin_acc_local_y,lin_acc_local_z,ang_vel_local_x,ang_vel_local_y,ang_vel_local_z,ang_acc_local_x,ang_acc_local_y,ang_acc_local_z,lin_acc_world_x,lin_acc_world_y,lin_acc_world_z,ang_vel_world_x,ang_vel_world_y,ang_vel_world_z,ang_acc_world_x,ang_acc_world_y,ang_acc_world_z,left_foot_z,right_foot_z
4.46,0.5749999999999996,0.999645398888146,0.01878195695508915,0.013230020649577123,-0.013464068044499209,-0.026434299320745334,-0.026434299320745334,-0.02284461257575145,-1.0104119631813784,1.7970641485898604,9.856705464615109,0.3265195283823041,0.07249514592132822,0.07215306232265628,-5.772629875873069,-4.742252357291108,3.1184660338527403,-0.7046932037892221,1.4482047562324616,0.1303785128243149,0.33014633963499496,0.06105544571204077,0.06597150880654976,-5.818619840491563,-4.700065579187812,3.096806110849025,0.05739640794752644,0.03227677857555131
4.462,0.5774999999999993,0.9996393542212508,0.019100395620951484,0.013299742819007901,-0.013396015086233675,-0.026286988883566488,-0.026286988883566488,-0.022844628270410682,-0.9302374192728244,1.8951674564046452,10.15195300286052,0.31659404976157995,0.07536889947419025,0.07085087057364159,-4.962739310362063,1.4368767764310133,-0.6510958745073459,-0.6131103360058779,1.5262556123587199,0.4278606475154554,0.32027293129741885,0.06423773759258221,0.06504515170692299,-4.936704168788053,1.5911459402707175,-0.4631785498133839,0.058222201550538207,0.03237166289497351
4.464,0.5800000000000002,0.9996332256862207,0.01941053655856216,0.013369656868752928,-0.013337820282207,-0.026159526989662375,-0.026159526989662375,-0.02284464396506991,-0.9095222911175129,1.890995423393682,10.374247047151984,0.3084311242267505,0.07525490555422829,0.06088112612674453,-4.081462767414723,-0.056996959980980255,-4.984872223448528,-0.5855402144715605,1.5063872036303292,0.6502120692963267,0.3118527178448084,0.06472260928585741,0.055303136802989726,-4.210106726305229,0.24243584663759948,-4.871007451966631,0.05905338079628872,0.032465843830287666
4.466,0.5824999999999999,0.9996269978211111,0.01971353035564674,0.013437316454959207,-0.013292120769720236,-0.026057254313104142,-0.026057254313104142,-0.022844659659729143,-0.8746647865484093,1.8907516068656807,10.527137285521496,0.3014869043845784,0.07265979184201718,0.04833729852855799,-3.4721099210860418,-1.2975568561055528,-6.271913799093271,-0.5455022212141323,1.492734365740044,0.8029529818942915,0.3045141070383595,0.06280320307852473,0.042862682984949205,-3.6693054032244374,-0.9597031036663386,-6.22022690902026,0.05987845782134665,0.03255840789565187
4.468,0.5849999999999996,0.9996206602801426,0.02001050300969694,0.013500703940716936,-0.013260705241201015,-0.025983803385120317,-0.025983803385120317,-0.02284467535438837,-0.8325511549763839,1.9124984056390544,10.64219050436346,0.2957199104172588,0.06802535174417718,0.03406049503357603,-2.8834969836598057,-2.3172200489200017,-7.138401747490981,-0.49862135740469,1.5023562821701597,0.9185279815896461,0.2982495618709239,0.05889198340685976,0.028579089440549856,-3.1322725837178154,-1.9556098358324836,-7.141796772199674,0.06068828513186156,0.03264866075082784
4.47,0.5874999999999994,0.999614202315638,0.02030224015979461,0.013558326426210545,-0.013245276814147573,-0.02594262806879138,-0.02594262806879138,-0.022844691049047603,-0.7928028533733994,1.907596912094652,10.714452741902818,0.29078176640328,0.061872415808148715,0.0181225387825179,-2.4690720069893977,-3.0764679680142306,-7.968978125529063,-0.45600362537577227,1.4871770312399024,0.9903391184358412,0.29272678179059003,0.053517705220374655,0.0125516681338139,-2.7613900401669276,-2.6871390932425543,-8.013710653367978,0.06147567203466481,0.03273607575760644
4.472,0.5900000000000002,0.999607622849931,0.02058944641806798,0.013609022936304947,-0.013246491279773825,-0.02593507883378507,-0.02593507883378507,-0.022844706743706835,-0.7621048792081985,1.8985298217266173,10.758315627283716,0.28657299963205757,0.054550955546694015,0.001563639040228936,-2.1043833856112246,-3.66073013072735,-8.279449871144482,-0.42337617742378464,1.469288766727629,1.0338239380540148,0.28788319079477637,0.0469920353167485,-0.004165682516543266,-2.4217954979068312,-3.262834951813079,-8.358675325178583,0.062235024437592865,0.03282027842304211
4.474,0.5924999999999999,0.9996009240915597,0.02087267059058137,0.013651940383095631,-0.01326456563525638,-0.02596162216443982,-0.02596162216443982,-0.022844722438366064,-0.7393836620689912,1.8889558209676163,10.779999211818188,0.2829278148597626,0.04637515951147774,-0.015185241350952809,-1.8225923861474869,-4.087898017608136,-8.374440195590871,-0.3994298847297397,1.4520917938805007,1.0553168609770616,0.28357298085496363,0.03961599984104149,-0.021126582344213402,-2.1551049699063682,-3.688017737853502,-8.480449913835068,0.06296210030038193,0.032901012415386406
4.476,0.5949999999999996,0.9995941102314653,0.021152320934733796,0.013686488353459106,-0.013299403978686786,-0.026022093044949103,-0.026022093044949103,-0.022844738133025295,-0.6988355781679177,1.8777797556970208,10.790790891608053,0.2796979621741621,0.03761211430333522,-0.031818162437845944,-1.6149263428002492,-4.38152260407126,-8.316460543446567,-0.35812789365306347,1.4333676198039986,1.0653297752718824,0.2796633397361221,0.031647578007894805,-0.03801136489972246,-1.9548205594207557,-3.9842109165733435,-8.44239127775453,0.06365378547811204,0.032978117403088425
4.478,0.5974999999999994,0.9995871795399588,0.021428714688037667,0.013712785212400738,-0.013350663200226154,-0.026115805683151305,-0.026115805683151305,-0.022844753827684524,-0.6936523789388721,1.8695554346807954,10.77971355229498,0.27677980638948746,0.028974493232370252,-0.048103970536501076,-1.4590778923373182,-4.318810535482484,-8.142904049327566,-0.35279664279048867,1.4195310695574364,1.054579213530591,0.2760762040589988,0.023791254483964838,-0.05455712810352716,-1.7935678385616605,-3.9281617619649833,-8.27288160190235,0.06430791055948336,0.03305151419490071
