count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_fit_line,lin_acc_local_x,lin_acc_local_y,lin_acc_local_z,ang_vel_local_x,ang_vel_local_y,ang_vel_local_z,ang_acc_local_x,ang_acc_local_y,ang_acc_local_z,lin_vel_world_x,lin_vel_world_y,lin_vel_world_z,lin_acc_world_x,lin_acc_world_y,lin_acc_world_z,ang_vel_world_x,ang_vel_world_y,ang_vel_world_z,ang_acc_world_x,ang_acc_world_y,ang_acc_world_z,left_foot_z,right_foot_z
0.04,0.049999999999999996,0.9999539696061133,0.001755073306873192,0.009289490603503162,-0.0016382157952793107,-0.0032442392554957906,-0.0032442392554957906,-0.022830509070281658,0.34324391674293686,-1.2176441201874157,11.713490522832148,0.38898988858862266,0.02742333745454892,-0.310164511738114,14.954221993458527,-39.44128739920034,-6.371322621834429,-0.03763351237325017,-0.02173459472249152,-0.14068752819822916,0.5567011317888874,-1.2602141469926502,1.8907810838367247,0.38325091414266743,0.02725937828178713,-0.31724258905067826,14.702736670856586,-39.46677841888028,-6.785312244052571,0.03466368707971461,0.03442756504741343
0.042,0.0525,0.9999524002759689,0.0021412114739845093,0.00931677840984126,-0.0019519313037464135,-0.0038644595009450916,-0.0038644595009450916,-0.022831442478441755,1.8219649205166801,3.0016853348167976,12.514247363537098,0.3112757081417066,0.03060586725814071,-0.27565019345605263,-38.85709022345804,1.591264901795895,17.25715914103068,-0.03350046312791707,-0.015853800993052263,-0.13532605754067087,2.0665413402885133,2.9405513587449015,2.6807414788756674,0.30620619890970135,0.030593073353922057,-0.2812723632960352,-38.522357616483035,1.6668475360674637,17.98511287732152,0.034764299262899576,0.034454822684271164
0.044,0.05499999999999999,0.9999508229144524,0.002449955751536358,0.00934744747291459,-0.002230402489861149,-0.004415570804071214,-0.004415570804071214,-0.022832375886601853,2.0764043483377215,1.3394522833016735,11.653190316525352,0.24200861149305497,0.02565277527916566,-0.16004854001118898,-34.6335483243258,-2.476545989487525,57.80082672243182,-0.028900981165352595,-0.013308414479175964,-0.13170871928626174,2.299774029559524,1.272673302445462,1.8086821140955749,0.23908931973438435,0.02537465504951956,-0.1644207777201532,-33.5584395876585,-2.6092091522012475,58.425792787941006,0.03491165473808146,0.034476653782378464
0.046,0.057499999999999996,0.9999495899614933,0.002690503648889585,0.009373045930522475,-0.0023926420420940964,-0.0047354573148681665,-0.0047354573148681665,-0.022833309294761947,2.2084095537870145,1.1748626906616773,11.10646754913386,0.1768969718989146,0.014820026957597784,-0.03463828862801282,-32.555819797070185,-5.4163741607839375,62.70512569158808,-0.024057603110352408,-0.011100084011223699,-0.12919035992269556,2.4217266292825594,1.1041171546690816,1.2591987948956547,0.17628667240000764,0.014170038285282897,-0.037870860225677094,-31.401323667188354,-5.602308382118332,63.27495874723805,0.03509334951714496,0.03449142705415575
0.048,0.06,0.9999488751920235,0.0028670963224127623,0.009387610069896347,-0.002428896469845649,-0.004804580776649582,-0.004804580776649582,-0.022834242702922045,2.2376101470663046,1.3855842410220653,10.832224520735167,0.11463544521830678,-0.0008482098001831096,0.07721033277714745,-31.130763340303908,-7.834118378890446,55.92431070258014,-0.019163256959499213,-0.008475627878994762,-0.12721845530397427,2.4472106140546677,1.3121914037959228,0.9859781797251443,0.11605821325808274,-0.001845099080846038,0.0750368375702602,-30.11422957096245,-8.007568683064468,56.45384889796864,0.03529984264588264,0.03449844330480477
0.05,0.0625,0.9999487320152183,0.002982449098231341,0.009386310184267273,-0.0023527685094613354,-0.00465014474247056,-0.00465014474247056,-0.022835176111082142,2.2448573336044046,1.6851400463661907,10.693102847481724,0.05485717046782802,-0.020177044278356614,0.17075497601266856,-29.889137375239375,-9.664417239086752,46.772321617760554,-0.014257254886009442,-0.005254785765436379,-0.12552084990698478,2.453037556431434,1.6104020908113181,0.8488339786101307,0.05795378597862491,-0.02145753546865165,0.16957186371267308,-29.052213639728915,-9.806218193902806,47.26751307120644,0.035523505005446765,0.03449779706836567
0.052000000000000005,0.065,0.9999491430241569,0.00303886685275396,0.009365517729494734,-0.002182597343575721,-0.004308821833574065,-0.004308821833574065,-0.02283610951924224,2.2376011787895336,1.988393711090826,10.60754013242135,-0.002898192039382214,-0.04221153697786282,0.2472467505587938,-28.877681253605118,-11.017246349753103,38.24588727306262,-0.009368287906499484,-0.0014271832698298566,-0.12398982692363252,2.4445191868397496,1.913798154820346,0.7655462655285117,0.0015433613915829302,-0.04371060113007612,0.2469983206774397,-28.20521229352099,-11.126532830712234,38.713228482383315,0.035757956625170215,0.03449007719910888
0.054,0.06749999999999999,0.9999500553069163,0.0030382082063957995,0.009322561890293174,-0.001935464386605946,-0.003814760834697737,-0.003814760834697737,-0.022837042927402334,2.2138595316607597,2.282438329989717,10.8243782752583,-0.05963235914279002,-0.06577145048625938,0.30937807083077673,-28.367083551703903,-11.779956754198277,31.06566013599146,-0.004520142950429678,0.0029883576543403827,-0.12202033462274725,2.4241066322531495,2.2077744746385006,0.984781271828366,-0.054115390922761006,-0.06743328105738196,0.31003382031334425,-27.829376157171968,-11.86133996365292,31.51774981795227,0.03599758296662799,0.03447615727179621
0.056,0.06999999999999999,0.9999513967610493,0.0029813587731507287,0.009255947596690888,-0.0016257458534618015,-0.0031966968222493742,-0.0031966968222493742,-0.02283797633556243,2.197948955146116,2.4340793564474485,10.783809325157874,-0.11358548909516142,-0.09065701693369149,0.35930302382919305,-26.9765649761857,-12.442783223716058,24.962476499208158,0.0002900338637997703,0.007713091693424507,-0.12012940612856823,2.405123579831248,2.362376030245167,0.9455021055149437,-0.10721761237081628,-0.09244502239703915,0.3608009456980628,-26.551110724027637,-12.505870669828598,25.38356269235928,0.03623805546569235,0.03445943735746401
0.058,0.0725,0.9999530838012288,0.0028709864499808233,0.009164370606593997,-0.0012656795020599308,-0.0024790379471313607,-0.0024790379471313607,-0.02283890974372253,2.189824898250236,2.5256104644376807,10.74762487626741,-0.16444660223941115,-0.11539333033119636,0.3992785341390026,-25.430556572124868,-12.368156698752436,19.98775515490478,0.005075717335197774,0.01262942050305005,-0.11830961631360358,2.392878967451216,2.458173994551769,0.9099343581793882,-0.15740158564487686,-0.11728525947914592,0.40156016017850943,-25.091986637030285,-12.420118541053384,20.379607240223308,0.03647510662561104,0.03444036715296436
0.06,0.075,0.9999550192565061,0.0027100948428342483,0.00904799436298456,-0.0008652442842618116,-0.0016816451569309117,-0.0016816451569309117,-0.022839843151882627,2.16308226500937,2.5804901239482807,10.764124649576452,-0.21227885349605222,-0.14032667730660087,0.4310724738826516,-23.91612562832053,-12.46667348770225,15.896969871824485,0.009799728912525358,0.017666007844869082,-0.11645570133862014,2.3620449545283204,2.518301903755398,0.9269983138185101,-0.20469517328389744,-0.14231062582202572,0.4340794138832625,-23.646793819510293,-12.5126831714399,16.25962685237653,0.036705001933935014,0.034419551625982425
