bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,orientation_quat_w,orientation_quat_x,orientation_quat_y,orientation_quat_z,orientation_R_00,orientation_R_01,orientation_R_02,orientation_R_10,orientation_R_11,orientation_R_12,orientation_R_20,orientation_R_21,orientation_R_22,orientation_dispersion_rad,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
327,0.8175,20,0.2556719906487578,0.9034711193677485,-0.27101393855022077,0.0006339360448247604,0.0036062505160779877,0.002157841815444339,-0.10010308100318759,-0.03725240797881137,0.0601476907578144,0.00010983112225751269,0.0011481387139108405,8.389196276846855e-05,-0.9615925948910329,0.7247315566450693,0.9816562245534974,0.999616653958183,0.026527980169788353,0.007747170708351018,-0.001671150374222444,0.9998743772048848,0.0037520530725286116,0.015399737234273167,-0.002929985908836208,0.9985869470490761,-0.053061514921642586,-0.015577066210225598,0.05300972817272888,0.998472495228254,0.00016762194282779347,0.0758492815598296,3.892177675481513e-06,0.03422289399640781,1.4693684474644435e-07
328,0.82,20,0.25566455475876326,0.9137855039963059,-0.3410938077377243,0.000644328732213235,0.0034458945551868554,0.0022910618417718645,-0.10141027371993498,-0.03587267952935864,0.06072713170485876,0.00010093505718476849,0.0011561924424727042,0.0001607641772065319,-0.6535963583737091,0.6898642247263675,0.28972047352217556,0.999619691093991,0.02642751223703064,0.0077113588694453965,-0.0016108129942469878,0.9998758804517683,0.003627984837211527,0.01533171278174577,-0.002812816713665915,0.9985979837569183,-0.05285976635166687,-0.01550199190221389,0.052810080123386054,0.9984842430826965,0.00016638784897563626,0.07579930329922738,4.546729549525042e-06,0.03422637370140583,1.6776122144466834e-07
329,0.8225,20,0.2552609537879644,0.9190533127715506,-0.40939377257946796,0.0011924824324932896,0.003824267695221095,0.0019372005834833001,-0.10207626948061639,-0.03456164745256533,0.06026819229019241,9.015592684703759e-05,0.0011668502305880342,0.0002408019389102642,-0.33299788034068806,0.6555160383966533,-0.2294697073331733,0.9996227379340977,0.026325730347683225,0.0076769397424387865,-0.001549942899025878,0.9998773245464014,0.003502918419841234,0.01526648029095537,-0.0026945142376218092,0.9986091071973416,-0.05265539493301183,-0.015429693806211616,0.05260779966005166,0.9984960410357041,0.00016513626728641763,0.07574676950778134,5.199370016449937e-06,0.03423006827630638,1.8938576286652983e-07
330,0.825,20,0.24634845087851764,0.921503642016835,-0.48834365381541034,0.0012706630627074532,0.003951584441938091,0.0018189720627074313,-0.10213066026967596,-0.03324374675275288,0.05906455743415693,7.573102458183122e-05,0.0011767261240392378,0.0003125115289182585,-0.027195394529810523,0.6589503499062237,-0.6018174280177415,0.9996257762850358,0.026223283645592926,0.007643818361527984,-0.001489571159237403,0.9998787064372351,0.003378919486828459,0.015203792832810488,-0.0025771354187094997,0.9986202411452086,-0.052449712564692594,-0.015360038620886397,0.05240416851918146,0.9985078228713975,0.00016386769516701227,0.07569152004151246,5.823836779689503e-06,0.03423397924685613,2.1154647654856084e-07
331,0.8275,20,0.2950030573293511,1.0587599817310487,0.3392308852158322,0.001217504876493586,0.004440716867243364,0.0003073291031511911,-0.10967133015482056,-0.030760393157618405,0.060680758809133414,1.547601034421447e-05,0.0011520051779112422,0.00034935605928287277,-3.7703349425722714,1.2416767975672391,0.8081006874882493,0.9996287890662955,0.026120789248626694,0.007611983139887224,-0.0014304375410004412,0.9998800231222388,0.003257475108612669,0.015143586661953454,-0.002462151079168293,0.9986313164349403,-0.05224396278501074,-0.01529304329212064,0.05220040891923171,0.9985195241634138,0.00016259612972892404,0.07563415131056339,6.3990572035162566e-06,0.03423809977309848,2.340110961300805e-07
332,0.83,20,0.29121969187822316,0.9937757489001731,0.19944319524869067,0.001252928843124995,0.002453016664491535,0.0007238844630696286,-0.11561837371356569,-0.028396988458767536,0.06345007025962461,9.22630669029989e-06,0.0011273792295212364,0.00036117603401869395,-2.973521779372578,1.1817023494254324,1.3846557252456022,0.9996319663921,0.026010741024022493,0.007582660308715607,-0.0013698106027509999,0.9998812537631104,0.0031330741599517316,0.015088479692089186,-0.002344151705699187,0.9986431299405877,-0.05202311001129441,-0.015230998847449651,0.05198156277734266,0.9985318892280477,0.000161453748899086,0.07557094329550292,6.9734896786252885e-06,0.03424213480566422,2.5898480069845246e-07
333,0.8325,20,0.28711140163264226,0.9587880801049204,0.07313831714670674,0.0012832309984920358,0.0017000679681736593,0.0007153911154981786,-0.12042038615287162,-0.026098852411978117,0.06656138619554364,1.8292365303206606e-05,0.0011013682249912554,0.0003470612352448196,-2.4010062196529627,1.1490680233947113,1.555657967959505,0.9996352668588825,0.02589472333225794,0.0075557630950672805,-0.0013065219355051047,0.9998824068889666,0.0030033995971329628,0.015038350467625292,-0.0022207820174895538,0.9986555126079557,-0.051790300877403564,-0.015173678563815015,0.05175081379651082,0.9985447474951941,0.00016038062244339954,0.07550271012155221,7.541283330155077e-06,0.03424620688290918,2.851264687443519e-07
334,0.835,20,0.282971376844696,0.9391002332911027,-0.04043902079598771,0.0013172358048786814,0.0012683831417227753,0.0007554823078371485,-0.1242281390203979,-0.023826096088225647,0.06947349559213867,2.6433131012014306e-05,0.0010744121887959325,0.0003184544986403252,-1.9038764337631489,1.1363781618762347,1.4560546982975213,0.9996386594761574,0.025773878322921186,0.007531237221776274,-0.0012402188580294118,0.999883484646187,0.0028677598169453773,0.014993101261265464,-0.0020913230498449107,0.9986683381067589,-0.05154781111730653,-0.015120962261028032,0.05151044958759957,0.9985579753242092,0.0001593834295359143,0.07543009151615121,8.104100187328547e-06,0.03425040869215671,3.1260998819213365e-07
335,0.8375,20,0.2788810563972769,0.9342000286898017,-0.1431538523555563,0.0013147033558308888,0.00030115785098012966,0.0006251276939397596,-0.1271864193592242,-0.02154699125576804,0.07168036752186698,2.4383921782503863e-05,0.0010442685963781124,0.00023398828358660027,-1.4791401694131516,1.1395524162288069,1.1034359648641516,0.999642116517398,0.025649201552230026,0.007509053735556087,-0.0011710919462204878,0.9998844853113,0.002726548128972262,0.014952657591778716,-0.0019561431980530467,0.9986814940067732,-0.051297631838011996,-0.015072807885237927,0.05126245666859821,0.9985714651434592,0.00015846494117820474,0.07535363310043311,8.662457419659072e-06,0.03425480233105727,3.4142372681999927e-07
336,0.84,20,0.2749354100242095,0.9423028068084225,-0.23667346557748078,0.0013570867185981911,7.042836513137504e-05,0.0007836065061950361,-0.1294242126261537,-0.019238533045116628,0.072749320179555,2.4493875927502942e-05,0.0010141925049648613,0.0001595000717840893,-1.1188966334647448,1.154229105325704,0.534476328844012,0.9996456136112287,0.025521547658073407,0.007489201950009193,-0.0010998395877370964,0.9998854044140665,0.002581171688090933,0.014916956540641364,-0.001816627590138549,0.9986948819160358,-0.051041480179496376,-0.015029234974460036,0.05100853249635566,0.9985851249185773,0.00015764001661255979,0.07527381346038833,9.21854258463222e-06,0.034259425760845216,3.7173246579599466e-07
