bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,orientation_quat_w,orientation_quat_x,orientation_quat_y,orientation_quat_z,orientation_R_00,orientation_R_01,orientation_R_02,orientation_R_10,orientation_R_11,orientation_R_12,orientation_R_20,orientation_R_21,orientation_R_22,orientation_dispersion_rad,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std,acc_H_raw_x,acc_H_raw_y,acc_H_raw_z,omega_H_raw_x,omega_H_raw_y,omega_H_raw_z
232,0.58,20,-0.6493334475518384,1.5149442461563691,0.4649053335628811,0.0018603694487794792,0.00401089893042776,0.039905672169038946,0.32501634410498553,0.06346704761345189,-0.00756761752219484,0.0002582427064226471,0.0006242606660695367,0.0030578803128226734,-5.334421501202687,-0.7125100551192022,2.122466794398807,0.9997266848795305,0.01887820256577471,0.01361774799010723,-0.002173924411602221,0.9996196619846611,0.004860817700473376,0.027145972536539765,-0.003832503280285713,0.9992777750410764,-0.037805293644705876,-0.0273101316781594,0.037686877825558907,0.998916340815127,0.00041835499371580996,0.05849350665321938,0.00027635249710443764,0.03233898278066475,3.710981487912332e-05,-0.6493334475518384,1.5149442461563691,0.4649053335628811,0.31072748814327766,0.0723174821886057,0.05779894225842436
233,0.5825,20,-0.6278577230991023,1.504635185567214,0.6768366926266849,0.009155429249907334,0.012646927836558122,0.028334850301549783,0.31475873622571987,0.060720684343553426,-0.004015609748942628,0.000335221984157511,0.00029098706808971544,0.0022021585077002027,-5.128803939632862,-1.3731816349492347,1.7760038866261045,0.9997196134759977,0.01920308564996012,0.013681783899488757,-0.002178238336308616,0.9996161281341559,0.004880720111398355,0.027272237628641737,-0.0038297902391338434,0.999252993558541,-0.03845500709944713,-0.02743955321799438,0.0383357983546513,0.998888100581696,0.00042096749120210537,0.05931678184665329,0.0002676587210626925,0.0324358146925889,3.414291970926562e-05,-0.6278577230991023,1.504635185567214,0.6768366926266849,0.30349759628808276,0.06939400378031142,0.04455425264036183
234,0.585,20,-0.5844429913379627,1.5128657407100667,0.8302828844975713,0.005753434695060834,0.03594832827727967,0.02930779109478063,0.3048091762548264,0.056972147928687135,-0.001727875388314775,0.0002647869232573067,0.0009976144689018088,0.0006715508543657885,-4.974779985446727,-1.8742682074331443,1.1438671803139258,0.999712678438908,0.019517675555280577,0.013743089844035963,-0.0021790803019725627,0.9996127581811526,0.004893374747842841,0.027393221151329885,-0.00382044207303098,0.9992286238999127,-0.03908403000527705,-0.027563343480701098,0.03896424081980754,0.9988603756449151,0.0004217540890168475,0.06013279087552561,0.000257738570370196,0.03253081052750066,3.1418714772572635e-05,-0.5844429913379627,1.5128657407100667,0.8302828844975713,0.2972517700112628,0.0646920859627467,0.028847857768417758
235,0.5875,20,-0.5385391851578911,1.5121786786191154,0.9378347348905194,0.006515106083426978,0.023861287558292858,0.020738085080920805,0.29513760261167943,0.05245675144360327,-0.0006895370427628391,0.00022221813913730562,0.0016282730991443045,0.0005577484667646342,-4.835786821573472,-2.257698242541937,0.5191691727759689,0.9997058948619189,0.019822298295587185,0.01380064926819166,-0.0021776933639512503,0.9996095994627779,0.004901226959221238,0.027506847077752934,-0.00380698461335375,0.9992046682837867,-0.03969304407627887,-0.027679514627579182,0.039572829746960636,0.9988332371401143,0.00042058435706306276,0.06093273484187937,0.0002469677037838777,0.032623287207850696,2.892488950556512e-05,-0.5385391851578911,1.5121786786191154,0.9378347348905194,0.29180841913260125,0.05861124113467457,0.011663327665653176
236,0.59,20,-0.49750879080894295,1.497990926003075,1.0061793085496316,0.008427452742696203,0.02282829027733947,0.01652923771673989,0.2857296699667179,0.04732548845911272,-0.0007294102546150654,0.00015414945625861644,0.002160671747980479,0.0017055534807277825,-4.7039663224807935,-2.5656314922452763,-0.0199366059261136,0.9996992747119979,0.020117249361119947,0.013853680004573128,-0.0021753088927460654,0.9996066871631041,0.004906705315147919,0.02761150524246206,-0.0037919135742632837,0.9991811286187273,-0.040282671257646445,-0.027786550168193397,0.04016212712440161,0.9988067436569468,0.0004177256084025014,0.06170970924005982,0.00023565311138162297,0.03271273745569753,2.664027255750735e-05,-0.49750879080894295,1.497990926003075,1.0061793085496316,0.28703879037007407,0.051488160311712085,-0.0061409435366953135
237,0.5925,20,-0.4656876115379185,1.4803544813255074,1.0465933479293394,0.009831613870753639,0.022610647805818836,0.01328066667809711,0.27658543838019584,0.04172980063599525,-0.0016573567034068935,6.434291199208268e-05,0.0026065093815778955,0.002731414195343186,-4.572115793261007,-2.7978439115587395,-0.46397322439591426,0.9996928280255394,0.02040280758660043,0.013901552265461662,-0.0021729890690527073,0.9996040499262329,0.004911904567474337,0.02770589404068109,-0.0037773817833652032,0.9991580071221798,-0.04085349667405045,-0.02788323435213576,0.0407326649895876,0.9987809445743896,0.00041337163522086543,0.06245837403172703,0.00022406747422633894,0.03279880086565821,2.4548836600669525e-05,-0.4656876115379185,1.4803544813255074,1.0465933479293394,0.28279860951257807,0.04360561278921349,-0.024061980788262945
238,0.595,20,-0.4279994426610503,1.4605390290183509,1.0681811791815918,0.003438414242252457,0.01948962046256741,0.013168874109084426,0.26770249609227303,0.0357945810689149,-0.003284679804383222,5.169313008682454e-05,0.0027212646767288606,0.00354944788255683,-4.441471143961421,-2.9676097835401722,-0.813661550488166,0.9996865626291546,0.02067924923619121,0.013943789599010284,-0.002171608010598252,0.9996017097005336,0.004918548895815696,0.027789023741928556,-0.003765160494155918,0.9991353055393516,-0.04140609606374174,-0.027968652635106436,0.041284974282976505,0.998755878765292,0.0004077412797137389,0.06317469871450786,0.00021243917633097543,0.03288123470428529,2.2635722364723823e-05,-0.4279994426610503,1.4605390290183509,1.0681811791815918,0.2789720237584202,0.03546467453573362,-0.041704583252728675
239,0.5975,20,-0.3992867649511219,1.4415330781474718,1.0722557884159698,0.009360330553012022,0.01803139305620174,0.006978294519935014,0.2590778985554931,0.029622360117942722,-0.005437274524031014,0.00015363641079040112,0.0030356013790960447,0.004181697247836039,-4.312298768389964,-3.08611047548609,-1.0762973598238965,0.9996804845165828,0.02094684553435788,0.013980042679449628,-0.002171853017832574,0.9995996829222994,0.004927993743471664,0.027860164739333684,-0.0037566425651910157,0.9991130254332574,-0.041941030581527386,-0.028042138618085154,0.04181958018999622,0.998731576137681,0.00040154668339740574,0.06385574461431995,0.00020095713123319855,0.03295989311896321,2.088518596658301e-05,-0.3992867649511219,1.4415330781474718,1.0722557884159698,0.2754518989942597,0.02723633698347716,-0.058839119411686555
240,0.6,20,-0.39230393047696743,1.4251622230828327,1.0588259253158303,0.008207019354970967,0.01557338271549544,0.004216401771782461,0.25070880153444325,0.02329600146105599,-0.007984113389510116,0.0002621292515562114,0.0032890454406916173,0.004631083403137789,-4.184548510524938,-3.163179328443362,-1.2734194327395505,0.9996745981120472,0.02120586231146445,0.014010067026979257,-0.0021742389573862894,0.9995979814137115,0.004941254016546411,0.027918803025511554,-0.00375287180715237,0.9990911681771668,-0.04245884623471657,-0.028103229473361777,0.042337001300613956,0.9987080588510535,0.0003945738577207842,0.06449947752808124,0.0001897671486028758,0.03303470762730572,1.928530765961002e-05,-0.39230393047696743,1.4251622230828327,1.0588259253158303,0.27213961011148524,0.018791130501853395,-0.07533513563361495
241,0.6025,20,-0.9549624272497269,1.5911581727131099,0.1461189938427882,0.005457206733765609,0.013237872318746855,0.023711560458928426,0.24275747810149778,0.017268294808591343,-0.011001791124784256,0.0005105148152559653,0.002875504348998064,0.0046919112095978694,-3.9756617164727386,-3.013853326232323,-1.50883886763707,0.9996689064340419,0.02145656069549225,0.014033702737841696,-0.0021791511084466317,0.9995966129758249,0.004959089200224742,0.02796459836227119,-0.0037546292219167573,0.9990697346071344,-0.04296007625035033,-0.028151626714363328,0.04283775001484321,0.9986853423811731,0.0003870572935131891,0.06510461937239592,0.00017899471743584267,0.03310567074247121,1.782312206963384e-05,-0.9549624272497269,1.5911581727131099,0.1461189938427882,0.25243187010924395,0.020518584963687886,-0.07930726537952804
